	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25
Probe18	-1.674	-0.318	-0.726	-1.271	1.753	-1.678	3.341	-1.772	3.814	-1.391	2.622	0.677	3.307	-0.92	3.545	0.305	2.808	0.836	4.532	-0.378	4.87	-0.044	4.061	1.684	5.486
Probe19	-0.288	0.165	-0.468	1.219	-3.353	-0.578	3.414	-0.674	4.755	0.033	4.025	0.44	4.186	1.136	2.505	0.436	3.293	-0.868	4.746	-0.545	3.666	-0.295	3.206	-0.966	4.678
Probe20	-0.558	-0.855	-1.114	-0.623	0.368	-0.182	4.37	0.563	3.75	0.189	2.717	-1.708	5.274	0.741	2.537	-1.583	2.832	-1.515	3.829	0.358	5.306	0.388	3.284	0.661	3.804
Probe21	1.693	-1.53	0.057	-0.217	0.511	0.309	3.998	0.925	1.045	0.379	2.024	0.331	3.612	0.151	5.808	-1.429	3.402	-0.297	4.692	-0.439	4.521	-0.816	4.693	0.323	2.869
Probe22	-0.234	1.999	-1.603	-0.292	-0.91	-0.766	6.167	1.242	4.219	-1.291	6.974	-0.443	4.039	0.72	3.808	1.465	2.86	2.736	4.675	-0.554	3.091	0.057	4.311	-0.005	2.605
Probe23	0.529	-1.721	2.207	-0.873	-1.364	1.139	3.146	1.277	3.963	-0.234	4.581	-1.266	3.743	-0.84	3.682	-0.566	4.249	0.599	4.202	0.125	4.136	-0.67	3.433	-0.954	3.97
Probe24	-0.529	0.375	0.204	-0.529	1.001	0.244	3.922	-0.904	3.479	-0.926	4.171	-0.047	2.158	0.467	2.277	0.429	3.903	-1.013	3.182	0.73	3.318	-1.663	4.222	0.264	3.538
Probe25	2.302	-0.218	-1.184	-0.644	0.118	-1.35	4.497	1.262	5.131	-1.095	4.354	-1.364	4.376	-0.936	3.278	0.753	4.903	-2.193	3.336	0.722	3.92	-1.341	4.762	1.756	4.032
Probe26	0.957	1.309	-1.317	1.254	-0.397	0.004	3.34	1.233	4.681	-0.875	2.497	0.207	1.703	-0.614	3.171	-0.034	2.59	0.968	3.576	0.946	3.85	1.128	4.015	0.633	3.148
Probe27	-0.789	-1.139	0.066	0.418	0.366	-0.932	3.982	0.151	4.018	0.74	5.374	0.067	6.07	1.178	6.316	1.948	3.389	0.383	5.084	-0.251	3.874	-0.715	3.101	-0.172	4.867
Probe28	-0.26	-0.005	-0.12	-0.422	0.629	1.242	3.954	-0.027	4.352	-0.074	4.369	0.196	4.847	-0.763	3.042	-1.643	3.952	-1.358	4.105	-0.257	4.168	0.047	1.782	-0.585	5.465
Probe29	1.882	0.869	-1.305	1.095	1.002	-0.897	3.248	1.113	5.83	0.298	4.811	-0.128	3.263	0.186	4.244	1.314	2.832	0.222	3.899	-1.279	4.133	-1.523	4.49	0.966	4.658
Probe30	-1.052	0.429	0.646	0.642	1.037	-1.046	1.724	-0.698	5.316	-0.403	2.821	-0.108	5.52	-0.352	3.298	-0.716	2.672	1.499	3.919	0.202	3.409	0.841	5.47	1.225	1.988
Probe31	-1.862	-0.589	0.205	1.281	-1.256	0.924	4.189	-1.219	3.137	0.142	5.869	0.529	2.138	-0.034	3.921	-1.097	5.402	1.468	5.034	0.088	3.055	1.587	3.374	0.377	2.939
Probe32	-0.315	-0.369	0.634	0.495	-1.059	-0.481	1.329	1.105	5.3	0.135	6.515	0.001	4.161	1.686	4.747	-0.911	3.24	-1.461	4.64	0.698	5.006	-1.072	4.608	-0.317	5.208
Probe33	0.558	0.793	-1.713	0.055	2.242	0.588	3.785	2.949	2.175	2.055	3.328	0.236	3.549	-0.009	1.477	0.538	3.116	-0.621	5.203	0.736	3.606	-0.313	4.402	-1.039	3.894
Probe34	-1.332	-1.134	0.153	0.66	1.764	-0.588	3.417	-0.547	3.849	-1.521	3.332	0.88	5.449	0.179	4.596	0.626	4.006	0.33	2.969	-0.42	2.606	-0.485	4.581	-0.199	5.008
Probe35	0.29	0.228	0.117	-0.587	-2.116	0.188	4.009	0.551	3.127	0.682	3.858	-1.053	4.388	-1.46	1.468	0.434	4.221	0.782	2.992	0.056	5.223	-0.747	6.549	-0.959	3.714
Probe36	-0.015	-1.665	1.007	0.278	-0.091	1.919	3.861	-0.318	3.026	-1.642	5.379	2.097	4.396	0.802	3.66	0.544	2.156	0.87	4.044	0.3	4.422	-0.788	4.677	-0.215	4.643
Probe37	-0.984	0.915	0.944	-1.975	-1.717	0.16	4.748	1.521	4.091	-0.386	3.802	-1.134	5.701	-0.402	5.682	-0.987	4.281	0.844	3.427	1.368	3.358	-1.748	3.792	2.125	5.137
Probe38	-0.399	-0.613	2.211	0.238	2.799	0.687	5.522	0.534	5.233	-0.395	4.387	-1.733	4.494	-1.26	4.693	1.679	4.477	0.399	2.508	1.683	3.185	0.865	4.958	0.602	4.371
Probe39	1.205	-0.562	1.134	0.202	0.209	0.692	2.419	0.397	2.429	0.911	6.341	0.713	4.548	-0.688	3.947	0.439	4.69	-0.324	3.07	0.265	3.757	-1.535	5.434	-0.017	4.125
Probe40	-0.298	0.118	1.653	1.519	-0.821	-0.85	4.602	1.073	5.087	0.155	6.987	-0.716	2.912	0.581	2.112	-0.426	3.523	0.188	4.548	0.155	4.256	0.775	2.607	-0.697	5.338
