	FC	Group
Gene125	0.0	NoChange
Gene126	0.0	Increased
Gene127	0.0	NoChange
Gene128	0.0	Decreased
Gene129	0.0	NoChange
Gene130	0.0	NoChange
Gene131	0.0	Increased
Gene132	0.0	NoChange
Gene133	0.0	NoChange
Gene134	0.0	Increased
Gene135	0.0	NoChange
Gene136	0.0	NoChange
Gene137	0.0	NoChange
Gene138	0.0	NoChange
Gene139	0.0	NoChange
Gene140	0.0	NoChange
Gene141	0.0	NoChange
Gene142	0.0	Decreased
Gene143	0.0	Increased
Gene144	0.0	Decreased
Gene145	0.0	NoChange
Gene146	0.0	NoChange
Gene147	0.0	Increased
Gene148	0.0	NoChange
Gene149	0.0	NoChange
Gene150	0.0	NoChange
Gene151	0.0	NoChange
Gene152	0.0	NoChange
Gene153	0.0	NoChange
Gene154	0.0	NoChange
Gene155	0.0	Increased
Gene156	0.0	NoChange
Gene157	0.0	NoChange
Gene158	0.0	NoChange
Gene159	0.0	Decreased
Gene160	0.0	Increased
Gene161	0.0	Decreased
Gene162	0.0	NoChange
Gene163	0.0	NoChange
Gene164	0.0	NoChange
Gene165	0.0	NoChange
Gene166	0.0	NoChange
Gene167	0.0	NoChange
Gene168	0.0	NoChange
Gene169	0.0	NoChange
Gene170	0.0	NoChange
Gene171	0.0	NoChange
Gene172	0.0	NoChange
Gene173	0.0	NoChange
Gene174	0.0	Decreased
Gene175	0.0	NoChange
Gene176	0.0	NoChange
Gene177	0.0	NoChange
Gene178	0.0	NoChange
Gene179	0.0	NoChange
Gene180	0.0	NoChange
Gene181	0.0	NoChange
Gene182	0.0	NoChange
Gene183	0.0	NoChange
Gene184	0.0	NoChange
Gene185	0.0	NoChange
Gene186	0.0	NoChange
Gene187	0.0	NoChange
Gene188	0.0	NoChange
Gene189	0.0	NoChange
Gene190	0.0	NoChange
Gene191	0.0	NoChange
Gene192	0.0	NoChange
Gene193	0.0	NoChange
Gene194	0.0	NoChange
Gene195	0.0	NoChange
Gene196	0.0	Decreased
Gene197	0.0	NoChange
Gene198	0.0	NoChange
Gene199	0.0	NoChange
Gene200	0.0	Decreased
Gene201	0.0	NoChange
Gene202	0.0	NoChange
Gene203	0.0	NoChange
Gene204	0.0	NoChange
Gene205	0.0	Increased
Gene206	0.0	NoChange
Gene207	0.0	NoChange
Gene208	0.0	NoChange
Gene209	0.0	NoChange
Gene210	0.0	NoChange
Gene211	0.0	NoChange
Gene212	0.0	NoChange
Gene213	0.0	NoChange
Gene214	0.0	NoChange
Gene215	0.0	NoChange
Gene216	0.0	NoChange
Gene217	0.0	NoChange
Gene218	0.0	NoChange
Gene219	0.0	NoChange
Gene220	0.0	NoChange
Gene221	0.0	NoChange
Gene222	0.0	NoChange
Gene223	0.0	NoChange
Gene224	0.0	NoChange
Gene225	0.0	NoChange
Gene226	0.0	NoChange
Gene227	0.0	NoChange
Gene228	0.0	NoChange
Gene229	0.0	NoChange
Gene230	0.0	NoChange
Gene231	0.0	NoChange
Gene232	0.0	Decreased
Gene233	0.0	NoChange
Gene234	0.0	NoChange
Gene235	0.0	NoChange
Gene236	0.0	NoChange
Gene237	0.0	NoChange
Gene238	0.0	NoChange
Gene239	0.0	Increased
Gene240	0.0	NoChange
Gene241	0.0	NoChange
Gene242	0.0	NoChange
Gene243	0.0	NoChange
Gene244	0.0	NoChange
Gene245	0.0	NoChange
Gene246	0.0	NoChange
Gene247	0.0	NoChange
Gene248	0.0	NoChange
Gene249	0.0	NoChange
Gene250	0.0	NoChange
Gene251	0.0	Decreased
Gene252	0.0	NoChange
Gene253	0.0	NoChange
Gene254	0.0	NoChange
Gene255	0.0	NoChange
Gene256	0.0	NoChange
Gene257	0.0	NoChange
Gene258	0.0	NoChange
Gene259	0.0	NoChange
Gene260	0.0	NoChange
Gene261	0.0	NoChange
Gene262	0.0	NoChange
Gene263	0.0	NoChange
Gene264	0.0	NoChange
Gene265	0.0	NoChange
Gene266	0.0	NoChange
Gene267	0.0	Decreased
Gene268	0.0	NoChange
Gene269	0.0	NoChange
Gene270	0.0	NoChange
Gene271	0.0	NoChange
Gene272	0.0	NoChange
Gene273	0.0	NoChange
Gene274	0.0	NoChange
Gene275	0.0	NoChange
Gene276	0.0	NoChange
Gene277	0.0	NoChange
Gene278	0.0	NoChange
Gene279	0.0	NoChange
Gene280	0.0	NoChange
Gene281	0.0	NoChange
Gene282	0.0	NoChange
Gene283	0.0	NoChange
Gene284	0.0	NoChange
Gene285	0.0	NoChange
Gene286	0.0	NoChange
Gene287	0.0	NoChange
Gene288	0.0	NoChange
Gene289	0.0	NoChange
Gene290	0.0	NoChange
Gene291	0.0	NoChange
Gene292	0.0	NoChange
Gene293	0.0	NoChange
Gene294	0.0	NoChange
Gene295	0.0	NoChange
Gene296	0.0	NoChange
Gene297	0.0	NoChange
Gene298	0.0	Decreased
Gene299	0.0	NoChange
Gene300	0.0	NoChange
Gene301	0.0	NoChange
Gene302	0.0	NoChange
Gene303	0.0	NoChange
Gene304	0.0	NoChange
Gene305	0.0	NoChange
Gene306	0.0	NoChange
Gene307	0.0	NoChange
Gene308	0.0	NoChange
Gene309	0.0	NoChange
Gene310	0.0	NoChange
Gene311	0.0	Increased
Gene312	0.0	NoChange
Gene313	0.0	NoChange
Gene314	0.0	NoChange
Gene315	0.0	NoChange
Gene316	0.0	NoChange
Gene317	0.0	NoChange
Gene318	0.0	NoChange
Gene319	0.0	NoChange
Gene320	0.0	NoChange
Gene321	0.0	NoChange
Gene322	0.0	NoChange
Gene323	0.0	Decreased
Gene324	0.0	NoChange
Gene325	0.0	NoChange
Gene326	0.0	NoChange
Gene327	0.0	Decreased
Gene328	0.0	NoChange
Gene329	0.0	NoChange
Gene330	0.0	NoChange
Gene331	0.0	NoChange
Gene332	0.0	NoChange
Gene333	0.0	NoChange
Gene334	0.0	NoChange
Gene335	0.0	NoChange
Gene336	0.0	NoChange
Gene337	0.0	NoChange
Gene338	0.0	NoChange
Gene339	0.0	NoChange
Gene340	0.0	NoChange
Gene341	0.0	NoChange
Gene342	0.0	NoChange
Gene343	0.0	NoChange
Gene344	0.0	NoChange
Gene345	0.0	NoChange
Gene346	0.0	NoChange
Gene347	0.0	NoChange
Gene348	0.0	NoChange
Gene349	0.0	NoChange
Gene350	0.0	NoChange
Gene351	0.0	NoChange
Gene352	0.0	NoChange
Gene353	0.0	NoChange
Gene354	0.0	NoChange
Gene355	0.0	NoChange
Gene356	0.0	NoChange
Gene357	0.0	NoChange
Gene358	0.0	NoChange
Gene359	0.0	NoChange
Gene360	0.0	NoChange
Gene361	0.0	NoChange
Gene362	0.0	NoChange
Gene363	0.0	NoChange
Gene364	0.0	NoChange
Gene365	0.0	NoChange
Gene366	0.0	Decreased
Gene367	0.0	NoChange
Gene368	0.0	NoChange
Gene369	0.0	NoChange
Gene370	0.0	NoChange
Gene371	0.0	NoChange
Gene372	0.0	Decreased
Gene373	0.0	NoChange
Gene374	0.0	NoChange
Gene375	0.0	NoChange
Gene376	0.0	NoChange
Gene377	0.0	NoChange
Gene378	0.0	NoChange
Gene379	0.0	NoChange
Gene380	0.0	NoChange
Gene381	0.0	NoChange
Gene382	0.0	NoChange
Gene383	0.0	NoChange
Gene384	0.0	NoChange
Gene385	0.0	NoChange
Gene386	0.0	NoChange
Gene387	0.0	NoChange
Gene388	0.0	NoChange
Gene389	0.0	NoChange
Gene390	0.0	NoChange
Gene391	0.0	Decreased
Gene392	0.0	NoChange
Gene393	0.0	NoChange
Gene394	0.0	NoChange
Gene395	0.0	NoChange
Gene396	0.0	NoChange
Gene397	0.0	NoChange
Gene398	0.0	NoChange
Gene399	0.0	Increased
Gene400	0.0	NoChange
Gene401	0.0	NoChange
Gene402	0.0	NoChange
Gene403	0.0	NoChange
Gene404	0.0	Increased
Gene405	0.0	NoChange
Gene406	0.0	NoChange
Gene407	0.0	NoChange
Gene408	0.0	NoChange
Gene409	0.0	NoChange
Gene410	0.0	NoChange
Gene411	0.0	NoChange
Gene412	0.0	NoChange
Gene413	0.0	NoChange
Gene414	0.0	NoChange
Gene415	0.0	NoChange
Gene416	0.0	NoChange
Gene417	0.0	NoChange
Gene418	0.0	NoChange
Gene419	0.0	NoChange
Gene420	0.0	NoChange
Gene421	0.0	NoChange
Gene422	0.0	NoChange
Gene423	0.0	NoChange
Gene424	0.0	NoChange
Gene425	0.0	NoChange
Gene426	0.0	NoChange
Gene427	0.0	NoChange
Gene428	0.0	NoChange
Gene429	0.0	NoChange
Gene430	0.0	NoChange
Gene431	0.0	NoChange
Gene432	0.0	NoChange
Gene433	0.0	NoChange
Gene434	0.0	NoChange
Gene435	0.0	NoChange
Gene436	0.0	NoChange
Gene437	0.0	NoChange
Gene438	0.0	NoChange
Gene439	0.0	NoChange
Gene440	0.0	NoChange
Gene441	0.0	NoChange
Gene442	0.0	NoChange
Gene443	0.0	NoChange
Gene444	0.0	NoChange
Gene445	0.0	NoChange
Gene446	0.0	NoChange
Gene447	0.0	NoChange
Gene448	0.0	NoChange
Gene449	0.0	NoChange
Gene450	0.0	NoChange
Gene451	0.0	NoChange
Gene452	0.0	NoChange
Gene453	0.0	NoChange
Gene454	0.0	Increased
Gene455	0.0	NoChange
Gene456	0.0	NoChange
Gene457	0.0	NoChange
Gene458	0.0	NoChange
Gene459	0.0	NoChange
Gene460	0.0	NoChange
Gene461	0.0	NoChange
Gene462	0.0	NoChange
Gene463	0.0	NoChange
Gene464	0.0	NoChange
Gene465	0.0	NoChange
Gene466	0.0	NoChange
Gene467	0.0	NoChange
Gene468	0.0	NoChange
Gene469	0.0	NoChange
Gene470	0.0	NoChange
Gene471	0.0	NoChange
Gene472	0.0	NoChange
Gene473	0.0	NoChange
Gene474	0.0	NoChange
Gene475	0.0	NoChange
Gene476	0.0	NoChange
Gene477	0.0	NoChange
Gene478	0.0	NoChange
Gene479	0.0	NoChange
Gene480	0.0	NoChange
Gene481	0.0	NoChange
Gene482	0.0	NoChange
Gene483	0.0	NoChange
Gene484	0.0	NoChange
Gene485	0.0	NoChange
Gene486	0.0	NoChange
Gene487	0.0	NoChange
Gene488	0.0	NoChange
Gene489	0.0	NoChange
Gene490	0.0	NoChange
Gene491	0.0	NoChange
Gene492	0.0	NoChange
Gene493	0.0	NoChange
Gene494	0.0	NoChange
Gene495	0.0	NoChange
Gene496	0.0	NoChange
Gene497	0.0	NoChange
Gene498	0.0	NoChange
Gene499	0.0	NoChange
Gene500	0.0	NoChange
Gene501	0.0	NoChange
Gene502	0.0	NoChange
Gene503	0.0	NoChange
Gene504	0.0	NoChange
Gene505	0.0	NoChange
Gene506	0.0	NoChange
Gene507	0.0	NoChange
Gene508	0.0	NoChange
Gene509	0.0	NoChange
Gene510	0.0	NoChange
Gene511	0.0	NoChange
Gene512	0.0	NoChange
Gene513	0.0	NoChange
Gene514	0.0	NoChange
Gene515	0.0	NoChange
Gene516	0.0	NoChange
Gene517	0.0	NoChange
Gene518	0.0	NoChange
Gene519	0.0	NoChange
Gene520	0.0	NoChange
Gene521	0.0	NoChange
Gene522	0.0	NoChange
Gene523	0.0	NoChange
Gene524	0.0	NoChange
Gene525	0.0	NoChange
Gene526	0.0	NoChange
Gene527	0.0	NoChange
Gene528	0.0	NoChange
Gene529	0.0	NoChange
Gene530	0.0	NoChange
Gene531	0.0	NoChange
Gene532	0.0	NoChange
Gene533	0.0	NoChange
Gene534	0.0	NoChange
Gene535	0.0	NoChange
Gene536	0.0	NoChange
Gene537	0.0	NoChange
Gene538	0.0	NoChange
Gene539	0.0	NoChange
Gene540	0.0	NoChange
Gene541	0.0	NoChange
Gene542	0.0	NoChange
Gene543	0.0	NoChange
Gene544	0.0	NoChange
Gene545	0.0	NoChange
Gene546	0.0	NoChange
Gene547	0.0	NoChange
Gene548	0.0	NoChange
Gene549	0.0	NoChange
Gene550	0.0	NoChange
Gene551	0.0	NoChange
Gene552	0.0	NoChange
Gene553	0.0	NoChange
Gene554	0.0	NoChange
Gene555	0.0	NoChange
Gene556	0.0	NoChange
Gene557	0.0	NoChange
Gene558	0.0	NoChange
Gene559	0.0	NoChange
Gene560	0.0	NoChange
Gene561	0.0	NoChange
Gene562	0.0	NoChange
Gene563	0.0	NoChange
Gene564	0.0	NoChange
Gene565	0.0	NoChange
Gene566	0.0	NoChange
Gene567	0.0	NoChange
Gene568	0.0	NoChange
Gene569	0.0	NoChange
Gene570	0.0	NoChange
Gene571	0.0	NoChange
Gene572	0.0	NoChange
Gene573	0.0	NoChange
Gene574	0.0	NoChange
Gene575	0.0	NoChange
Gene576	0.0	NoChange
Gene577	0.0	NoChange
Gene578	0.0	NoChange
Gene579	0.0	NoChange
Gene580	0.0	NoChange
Gene581	0.0	NoChange
Gene582	0.0	NoChange
Gene583	0.0	NoChange
Gene584	0.0	NoChange
Gene585	0.0	NoChange
Gene586	0.0	NoChange
Gene587	0.0	NoChange
Gene588	0.0	NoChange
Gene589	0.0	NoChange
Gene590	0.0	NoChange
Gene591	0.0	NoChange
Gene592	0.0	NoChange
Gene593	0.0	NoChange
Gene594	0.0	NoChange
Gene595	0.0	NoChange
Gene596	0.0	NoChange
Gene597	0.0	NoChange
Gene598	0.0	NoChange
Gene599	0.0	NoChange
Gene600	0.0	NoChange
Gene601	0.0	NoChange
Gene602	0.0	NoChange
Gene603	0.0	NoChange
Gene604	0.0	NoChange
Gene605	0.0	NoChange
Gene606	0.0	NoChange
Gene607	0.0	NoChange
Gene608	0.0	NoChange
Gene609	0.0	NoChange
Gene610	0.0	NoChange
Gene611	0.0	NoChange
Gene612	0.0	NoChange
Gene613	0.0	NoChange
Gene614	0.0	NoChange
Gene615	0.0	NoChange
Gene616	0.0	NoChange
Gene617	0.0	NoChange
Gene618	0.0	NoChange
Gene619	0.0	NoChange
Gene620	0.0	NoChange
Gene621	0.0	NoChange
Gene622	0.0	NoChange
Gene623	0.0	NoChange
Gene624	0.0	NoChange
Gene625	0.0	NoChange
Gene626	0.0	NoChange
Gene627	0.0	NoChange
Gene628	0.0	NoChange
Gene629	0.0	NoChange
Gene630	0.0	NoChange
Gene631	0.0	NoChange
Gene632	0.0	NoChange
Gene633	0.0	NoChange
Gene634	0.0	NoChange
Gene635	0.0	NoChange
Gene636	0.0	NoChange
Gene637	0.0	NoChange
Gene638	0.0	NoChange
Gene639	0.0	NoChange
Gene640	0.0	NoChange
Gene641	0.0	NoChange
Gene642	0.0	NoChange
Gene643	0.0	NoChange
Gene644	0.0	NoChange
Gene645	0.0	NoChange
Gene646	0.0	NoChange
Gene647	0.0	NoChange
Gene648	0.0	NoChange
Gene649	0.0	NoChange
Gene650	0.0	NoChange
Gene651	0.0	NoChange
Gene652	0.0	NoChange
Gene653	0.0	NoChange
Gene654	0.0	NoChange
Gene655	0.0	NoChange
Gene656	0.0	NoChange
Gene657	0.0	NoChange
Gene658	0.0	NoChange
Gene659	0.0	NoChange
Gene660	0.0	NoChange
Gene661	0.0	NoChange
Gene662	0.0	NoChange
Gene663	0.0	NoChange
Gene664	0.0	NoChange
Gene665	0.0	NoChange
Gene666	0.0	NoChange
Gene667	0.0	NoChange
Gene668	0.0	NoChange
Gene669	0.0	NoChange
Gene670	0.0	NoChange
Gene671	0.0	NoChange
Gene672	0.0	NoChange
Gene673	0.0	NoChange
Gene674	0.0	NoChange
Gene675	0.0	NoChange
Gene676	0.0	NoChange
Gene677	0.0	NoChange
Gene678	0.0	NoChange
Gene679	0.0	NoChange
Gene680	0.0	NoChange
Gene681	0.0	NoChange
Gene682	0.0	NoChange
Gene683	0.0	NoChange
Gene684	0.0	NoChange
Gene685	0.0	NoChange
Gene686	0.0	NoChange
Gene687	0.0	NoChange
Gene688	0.0	NoChange
Gene689	0.0	NoChange
Gene690	0.0	NoChange
Gene691	0.0	NoChange
Gene692	0.0	NoChange
Gene693	0.0	NoChange
Gene694	0.0	NoChange
Gene695	0.0	NoChange
Gene696	0.0	NoChange
Gene697	0.0	NoChange
Gene698	0.0	NoChange
Gene699	0.0	NoChange
Gene700	0.0	NoChange
Gene701	0.0	NoChange
Gene702	0.0	NoChange
Gene703	0.0	NoChange
Gene704	0.0	NoChange
Gene705	0.0	NoChange
Gene706	0.0	NoChange
Gene707	0.0	NoChange
Gene708	0.0	NoChange
Gene709	0.0	NoChange
Gene710	0.0	NoChange
Gene711	0.0	NoChange
Gene712	0.0	NoChange
Gene713	0.0	NoChange
Gene714	0.0	NoChange
Gene715	0.0	NoChange
Gene716	0.0	NoChange
Gene717	0.0	NoChange
Gene718	0.0	NoChange
Gene719	0.0	NoChange
Gene720	0.0	NoChange
Gene721	0.0	NoChange
Gene722	0.0	NoChange
Gene723	0.0	NoChange
Gene724	0.0	NoChange
Gene725	0.0	NoChange
Gene726	0.0	NoChange
Gene727	0.0	NoChange
Gene728	0.0	NoChange
Gene729	0.0	NoChange
Gene730	0.0	NoChange
Gene731	0.0	NoChange
Gene732	0.0	NoChange
Gene733	0.0	NoChange
Gene734	0.0	NoChange
Gene735	0.0	NoChange
Gene736	0.0	NoChange
Gene737	0.0	NoChange
Gene738	0.0	NoChange
Gene739	0.0	NoChange
Gene740	0.0	NoChange
Gene741	0.0	NoChange
Gene742	0.0	NoChange
Gene743	0.0	NoChange
Gene744	0.0	NoChange
Gene745	0.0	NoChange
Gene746	0.0	NoChange
Gene747	0.0	NoChange
Gene748	0.0	NoChange
Gene749	0.0	NoChange
Gene750	0.0	NoChange
Gene751	0.0	NoChange
Gene752	0.0	NoChange
Gene753	0.0	NoChange
Gene754	0.0	NoChange
Gene755	0.0	NoChange
Gene756	0.0	NoChange
Gene757	0.0	NoChange
Gene758	0.0	NoChange
Gene759	0.0	NoChange
Gene760	0.0	NoChange
Gene761	0.0	NoChange
Gene762	0.0	NoChange
Gene763	0.0	NoChange
Gene764	0.0	NoChange
Gene765	0.0	NoChange
Gene766	0.0	NoChange
Gene767	0.0	NoChange
Gene768	0.0	NoChange
Gene769	0.0	NoChange
Gene770	0.0	NoChange
Gene771	0.0	NoChange
Gene772	0.0	NoChange
Gene773	0.0	NoChange
Gene774	0.0	NoChange
Gene775	0.0	NoChange
Gene776	0.0	NoChange
Gene777	0.0	NoChange
Gene778	0.0	NoChange
Gene779	0.0	NoChange
Gene780	0.0	NoChange
Gene781	0.0	NoChange
Gene782	0.0	NoChange
Gene783	0.0	NoChange
Gene784	0.0	NoChange
Gene785	0.0	NoChange
Gene786	0.0	NoChange
Gene787	0.0	NoChange
Gene788	0.0	NoChange
Gene789	0.0	NoChange
Gene790	0.0	NoChange
Gene791	0.0	NoChange
Gene792	0.0	NoChange
Gene793	0.0	NoChange
Gene794	0.0	NoChange
Gene795	0.0	NoChange
Gene796	0.0	NoChange
Gene797	0.0	NoChange
Gene798	0.0	NoChange
Gene799	0.0	NoChange
Gene800	0.0	NoChange
Gene801	0.0	NoChange
Gene802	0.0	NoChange
Gene803	0.0	NoChange
Gene804	0.0	NoChange
Gene805	0.0	NoChange
Gene806	0.0	NoChange
Gene807	0.0	NoChange
Gene808	0.0	NoChange
Gene809	0.0	NoChange
Gene810	0.0	NoChange
Gene811	0.0	NoChange
Gene812	0.0	NoChange
Gene813	0.0	NoChange
Gene814	0.0	NoChange
Gene815	0.0	NoChange
Gene816	0.0	NoChange
Gene817	0.0	NoChange
Gene818	0.0	NoChange
Gene819	0.0	NoChange
Gene820	0.0	NoChange
Gene821	0.0	NoChange
Gene822	0.0	NoChange
Gene823	0.0	NoChange
Gene824	0.0	NoChange
Gene825	0.0	NoChange
Gene826	0.0	NoChange
Gene827	0.0	NoChange
Gene828	0.0	NoChange
Gene829	0.0	NoChange
Gene830	0.0	NoChange
Gene831	0.0	NoChange
Gene832	0.0	NoChange
Gene833	0.0	NoChange
Gene834	0.0	NoChange
Gene835	0.0	NoChange
Gene836	0.0	NoChange
Gene837	0.0	NoChange
Gene838	0.0	NoChange
Gene839	0.0	NoChange
Gene840	0.0	NoChange
Gene841	0.0	NoChange
Gene842	0.0	NoChange
Gene843	0.0	NoChange
Gene844	0.0	NoChange
Gene845	0.0	NoChange
Gene846	0.0	NoChange
Gene847	0.0	NoChange
Gene848	0.0	NoChange
Gene849	0.0	NoChange
Gene850	0.0	NoChange
Gene851	0.0	NoChange
Gene852	0.0	NoChange
Gene853	0.0	NoChange
Gene854	0.0	NoChange
Gene855	0.0	NoChange
Gene856	0.0	NoChange
Gene857	0.0	NoChange
Gene858	0.0	NoChange
Gene859	0.0	NoChange
Gene860	0.0	NoChange
Gene861	0.0	NoChange
Gene862	0.0	NoChange
Gene863	0.0	NoChange
Gene864	0.0	NoChange
Gene865	0.0	NoChange
Gene866	0.0	NoChange
Gene867	0.0	NoChange
Gene868	0.0	NoChange
Gene869	0.0	NoChange
Gene870	0.0	NoChange
Gene871	0.0	NoChange
Gene872	0.0	NoChange
Gene873	0.0	NoChange
Gene874	0.0	NoChange
Gene875	0.0	NoChange
Gene876	0.0	NoChange
Gene877	0.0	NoChange
Gene878	0.0	NoChange
Gene879	0.0	NoChange
Gene880	0.0	NoChange
Gene881	0.0	NoChange
Gene882	0.0	NoChange
Gene883	0.0	NoChange
Gene884	0.0	NoChange
Gene885	0.0	NoChange
Gene886	0.0	NoChange
Gene887	0.0	NoChange
Gene888	0.0	NoChange
Gene889	0.0	NoChange
Gene890	0.0	NoChange
Gene891	0.0	NoChange
Gene892	0.0	NoChange
Gene893	0.0	NoChange
Gene894	0.0	NoChange
Gene895	0.0	NoChange
Gene896	0.0	NoChange
Gene897	0.0	NoChange
Gene898	0.0	NoChange
Gene899	0.0	NoChange
Gene900	0.0	NoChange
Gene901	0.0	NoChange
Gene902	0.0	NoChange
Gene903	0.0	NoChange
Gene904	0.0	NoChange
Gene905	0.0	NoChange
Gene906	0.0	NoChange
Gene907	0.0	NoChange
Gene908	0.0	NoChange
Gene909	0.0	NoChange
Gene910	0.0	NoChange
Gene911	0.0	NoChange
Gene912	0.0	NoChange
Gene913	0.0	NoChange
Gene914	0.0	NoChange
Gene915	0.0	NoChange
Gene916	0.0	NoChange
Gene917	0.0	NoChange
Gene918	0.0	NoChange
Gene919	0.0	NoChange
Gene920	0.0	NoChange
Gene921	0.0	NoChange
Gene922	0.0	NoChange
Gene923	0.0	NoChange
Gene924	0.0	NoChange
Gene925	0.0	NoChange
Gene926	0.0	NoChange
Gene927	0.0	NoChange
Gene928	0.0	NoChange
Gene929	0.0	NoChange
Gene930	0.0	NoChange
Gene931	0.0	NoChange
Gene932	0.0	NoChange
Gene933	0.0	NoChange
Gene934	0.0	NoChange
Gene935	0.0	NoChange
Gene936	0.0	NoChange
Gene937	0.0	NoChange
Gene938	0.0	NoChange
Gene939	0.0	NoChange
Gene940	0.0	NoChange
Gene941	0.0	NoChange
Gene942	0.0	NoChange
Gene943	0.0	NoChange
Gene944	0.0	NoChange
Gene945	0.0	NoChange
Gene946	0.0	NoChange
Gene947	0.0	NoChange
Gene948	0.0	NoChange
Gene949	0.0	NoChange
Gene950	0.0	NoChange
Gene951	0.0	NoChange
Gene952	0.0	NoChange
Gene953	0.0	NoChange
Gene954	0.0	NoChange
Gene955	0.0	NoChange
Gene956	0.0	NoChange
Gene957	0.0	NoChange
Gene958	0.0	NoChange
Gene959	0.0	NoChange
Gene960	0.0	NoChange
Gene961	0.0	NoChange
Gene962	0.0	NoChange
Gene963	0.0	NoChange
Gene964	0.0	NoChange
Gene965	0.0	NoChange
Gene966	0.0	NoChange
Gene967	0.0	NoChange
Gene968	0.0	NoChange
Gene969	0.0	NoChange
Gene970	0.0	NoChange
Gene971	0.0	NoChange
Gene972	0.0	NoChange
Gene973	0.0	NoChange
Gene974	0.0	NoChange
Gene975	0.0	NoChange
Gene976	0.0	NoChange
Gene977	0.0	NoChange
Gene978	0.0	NoChange
Gene979	0.0	NoChange
Gene980	0.0	NoChange
Gene981	0.0	NoChange
Gene982	0.0	NoChange
Gene983	0.0	NoChange
Gene984	0.0	NoChange
Gene985	0.0	NoChange
Gene986	0.0	NoChange
Gene987	0.0	NoChange
Gene988	0.0	NoChange
Gene989	0.0	NoChange
Gene990	0.0	NoChange
Gene991	0.0	NoChange
Gene992	0.0	NoChange
Gene993	0.0	NoChange
Gene994	0.0	NoChange
Gene995	0.0	NoChange
Gene996	0.0	NoChange
Gene997	0.0	NoChange
Gene998	0.0	NoChange
Gene999	0.0	NoChange
Gene1000	0.0	NoChange
