	AveExpr	logFC	-log-pVal
Gene68	0.021	0.423	1.1593
Gene69	-0.276	1.169	1.1517
Gene70	0.004	0.588	1.1509
Gene71	0.271	1.917	1.1379
Gene72	0.082	0.578	1.136
Gene73	0.283	0.556	1.135
Gene74	-0.187	-0.562	1.1033
Gene75	-0.171	-0.747	1.0994
Gene76	-0.012	-0.587	1.0809
Gene77	0.275	-0.714	1.077
Gene78	0.004	0.493	1.0752
Gene79	0.116	0.5	1.0723
Gene80	-0.025	0.497	1.0669
Gene81	-0.313	-0.887	1.0642
Gene82	0.092	-0.546	1.0612
Gene83	-0.115	0.389	1.0542
Gene84	0.07	-0.434	1.0519
Gene85	0.263	-0.513	1.0492
Gene86	0.432	-0.743	1.0481
Gene87	0.2	-0.394	1.0424
Gene88	0.198	-0.617	1.039
Gene89	-0.13	0.6	1.0334
Gene90	0.116	0.588	1.0331
Gene91	0.035	-0.444	1.0305
Gene92	0.163	0.735	1.0177
Gene93	0.159	-0.573	1.0128
Gene94	-0.029	0.37	1.0126
Gene95	0.01	-0.359	1.0086
Gene96	0.036	0.401	1.0069
Gene97	0.44	-0.566	1.0055
Gene98	0.551	-0.513	1.0011
Gene99	0.043	-0.327	1.0009
Gene100	0.054	0.383	0.9932
Gene101	0.217	-0.459	0.9931
Gene102	-0.37	-0.569	0.9842
Gene103	-0.003	0.405	0.9833
Gene104	-0.258	0.361	0.9802
Gene105	-0.103	0.379	0.977
Gene106	0.36	0.36	0.975
Gene107	-0.095	-0.365	0.9748
Gene108	-0.339	0.508	0.9725
Gene109	-0.237	-0.454	0.9693
Gene110	-0.021	0.398	0.968
Gene111	0.136	-0.49	0.9668
Gene112	-0.172	-0.342	0.9589
Gene113	0.099	-0.353	0.9576
Gene114	0.084	-0.452	0.9575
Gene115	0.064	-0.388	0.9564
Gene116	0.049	0.436	0.9539
Gene117	0.124	-0.845	0.9511
Gene118	0.215	-0.39	0.946
Gene119	-0.218	0.375	0.9429
Gene120	-0.101	-0.516	0.9397
Gene121	0.583	1.182	0.9385
Gene122	0.168	-0.485	0.9366
Gene123	-0.075	-0.532	0.9346
Gene124	0.045	0.342	0.9312
Gene125	0.142	0.375	0.9292
Gene126	0.275	0.524	0.9255
Gene127	-0.068	-0.407	0.9246
Gene128	-0.248	-0.657	0.9214
Gene129	0.061	0.397	0.921
Gene130	-0.061	0.486	0.9205
Gene131	0.276	1.082	0.9184
Gene132	-0.199	0.323	0.9183
Gene133	0.06	-0.477	0.9142
Gene134	0.061	0.514	0.9129
Gene135	0.007	-0.488	0.9121
Gene136	0.225	-0.376	0.9091
Gene137	-0.18	0.496	0.9067
Gene138	-0.255	-0.461	0.9063
Gene139	-0.25	0.477	0.9014
Gene140	0.037	-0.344	0.9011
Gene141	-0.114	-0.435	0.8959
Gene142	-0.159	-0.545	0.8911
Gene143	-0.288	0.84	0.8902
Gene144	-0.148	-0.506	0.888
Gene145	0.186	0.44	0.8877
Gene146	-0.031	0.394	0.8846
Gene147	0.025	1.034	0.8845
Gene148	-0.086	-0.362	0.8839
Gene149	-0.203	0.344	0.8814
Gene150	0.044	-0.329	0.8775
Gene151	0.232	0.389	0.8762
Gene152	0.197	-0.442	0.8746
Gene153	-0.033	-0.448	0.8719
Gene154	-0.043	0.407	0.8689
Gene155	0.376	0.812	0.8661
Gene156	-0.061	0.378	0.8659
Gene157	0.349	0.443	0.8622
Gene158	-0.223	-0.386	0.8605
Gene159	0.372	-0.535	0.8595
Gene160	-0.041	0.82	0.8588
Gene161	0.215	-0.554	0.8561
Gene162	-0.022	0.456	0.8552
Gene163	-0.084	0.401	0.8488
Gene164	-0.044	0.46	0.8475
Gene165	0.163	-0.312	0.8467
Gene166	0.034	0.425	0.8448
Gene167	0.092	-0.391	0.8447
Gene168	0.173	-0.416	0.844
Gene169	-0.179	0.293	0.8384
Gene170	0.094	-0.494	0.8326
Gene171	0.086	0.327	0.832
Gene172	0.106	0.344	0.8317
Gene173	0.081	-0.314	0.8309
Gene174	0.018	-0.546	0.8268
Gene175	0.123	-0.327	0.8237
Gene176	-0.037	-0.489	0.8168
Gene177	0.045	-0.348	0.8035
Gene178	0.074	0.329	0.8008
Gene179	0.281	0.467	0.8001
Gene180	0.075	-0.454	0.7951
Gene181	-0.002	-0.398	0.7935
Gene182	-0.126	-0.3	0.7891
Gene183	0.044	0.337	0.789
Gene184	0.209	0.365	0.7881
Gene185	0.108	0.387	0.7862
Gene186	-0.088	-0.392	0.7821
Gene187	-0.05	-0.357	0.7819
Gene188	-0.05	-0.294	0.778
Gene189	0.359	-0.411	0.7726
Gene190	0.115	0.33	0.7707
Gene191	-0.378	0.444	0.77
Gene192	0.196	0.428	0.7642
Gene193	0.077	0.325	0.7593
Gene194	0.275	-0.39	0.759
Gene195	0.236	-0.391	0.7552
Gene196	-0.034	-0.621	0.7476
Gene197	-0.14	-0.327	0.7472
Gene198	-0.13	-0.331	0.7434
Gene199	-0.166	0.469	0.737
Gene200	0.088	-0.564	0.7297
Gene201	-0.01	0.407	0.7263
Gene202	0.164	-0.405	0.7225
Gene203	-0.123	0.256	0.7184
Gene204	-0.039	0.426	0.7158
Gene205	0.32	0.584	0.7149
Gene206	0.001	0.291	0.7126
Gene207	0.194	0.414	0.7113
Gene208	-0.153	-0.284	0.703
Gene209	0.006	0.293	0.7003
Gene210	-0.061	0.304	0.6992
Gene211	-0.129	-0.424	0.6987
Gene212	0.026	-0.275	0.6971
Gene213	-0.125	-0.281	0.6936
Gene214	0.041	-0.364	0.6926
Gene215	0.047	0.261	0.691
Gene216	0.039	0.307	0.6849
Gene217	0.155	-0.422	0.6755
Gene218	0.135	0.402	0.673
Gene219	-0.022	0.302	0.6722
Gene220	-0.294	0.329	0.6702
Gene221	0.01	-0.392	0.6695
Gene222	-0.099	-0.32	0.6681
Gene223	-0.089	-0.345	0.6679
Gene224	0.027	-0.292	0.6655
Gene225	0.005	0.291	0.6651
Gene226	0.007	-0.429	0.6645
Gene227	-0.006	0.366	0.6608
Gene228	0.085	0.257	0.6583
Gene229	-0.142	0.397	0.6574
Gene230	0.159	-0.28	0.6562
Gene231	0.232	0.336	0.656
Gene232	-0.16	-0.684	0.6555
Gene233	-0.014	0.26	0.6544
Gene234	-0.155	-0.238	0.6533
Gene235	-0.047	0.289	0.647
Gene236	0.226	0.264	0.6464
Gene237	0.054	-0.275	0.6463
Gene238	-0.117	-0.265	0.6454
Gene239	-0.068	0.513	0.645
Gene240	-0.115	0.322	0.6418
Gene241	0.1	0.286	0.6417
Gene242	-0.021	-0.245	0.6406
Gene243	-0.026	-0.383	0.6401
Gene244	-0.182	-0.424	0.6394
Gene245	-0.165	0.251	0.6386
Gene246	0.186	-0.284	0.6334
Gene247	-0.009	0.33	0.6322
Gene248	-0.085	0.344	0.6296
Gene249	-0.093	0.478	0.6246
Gene250	0.311	-0.271	0.6215
Gene251	-0.031	-0.623	0.6211
Gene252	-0.149	0.362	0.62
Gene253	-0.029	0.232	0.62
Gene254	-0.024	-0.24	0.6195
Gene255	-0.109	-0.342	0.6186
Gene256	0.318	0.284	0.6179
Gene257	-0.006	-0.335	0.617
Gene258	-0.138	0.253	0.6165
Gene259	0.048	0.238	0.6153
Gene260	0.113	-0.473	0.6146
Gene261	-0.067	-0.225	0.6144
Gene262	-0.263	-0.273	0.6109
Gene263	0.07	0.231	0.6083
Gene264	-0.002	-0.323	0.6066
Gene265	0.2	0.4	0.6041
Gene266	0.182	-0.232	0.603
Gene267	-0.948	-1.12	0.5997
Gene268	0.056	-0.4	0.5933
Gene269	-0.512	-0.379	0.5924
Gene270	0.111	0.366	0.5922
Gene271	-0.18	-0.235	0.592
Gene272	0.009	0.293	0.5904
Gene273	-0.204	0.253	0.59
Gene274	-0.028	0.296	0.5868
Gene275	0.056	-0.282	0.5848
Gene276	-0.014	-0.295	0.5815
Gene277	-0.145	0.234	0.5797
Gene278	0.004	0.264	0.5794
Gene279	-0.129	0.273	0.5749
Gene280	0.226	-0.335	0.5745
Gene281	0.108	-0.302	0.5723
Gene282	-0.008	0.388	0.5718
Gene283	-0.025	-0.254	0.5718
Gene284	0.033	-0.273	0.5707
Gene285	0.166	-0.231	0.5687
Gene286	0.125	0.288	0.5684
Gene287	0.241	0.35	0.5634
Gene288	-0.078	0.243	0.5623
Gene289	0.147	-0.315	0.5573
Gene290	-0.05	0.345	0.5572
Gene291	0.015	0.355	0.5565
Gene292	0.248	-0.262	0.5553
Gene293	0.013	-0.225	0.5547
Gene294	-0.008	0.218	0.5534
Gene295	0.242	0.336	0.5516
Gene296	0.018	-0.248	0.5507
Gene297	0.128	0.246	0.5505
Gene298	-0.18	-0.523	0.5492
Gene299	0.075	-0.232	0.5488
Gene300	0.036	0.274	0.5475
Gene301	0.059	-0.225	0.542
Gene302	0.075	0.235	0.5402
Gene303	-0.183	0.279	0.5381
Gene304	0.009	-0.458	0.5376
Gene305	-0.055	-0.248	0.5359
Gene306	0.035	0.371	0.5355
Gene307	-0.075	0.206	0.534
Gene308	0.088	0.271	0.533
Gene309	-0.17	-0.259	0.5327
Gene310	0.018	-0.232	0.5318
Gene311	0.063	0.561	0.5302
Gene312	-0.145	-0.394	0.5289
Gene313	-0.203	0.261	0.5277
Gene314	-0.087	0.356	0.5223
Gene315	-0.255	0.262	0.5217
Gene316	-0.007	-0.418	0.5203
Gene317	-0.282	-0.214	0.5198
Gene318	0	0.217	0.5197
Gene319	0.133	0.229	0.5174
Gene320	0.155	-0.223	0.5171
Gene321	0.069	-0.208	0.5138
Gene322	-0.006	0.202	0.5118
Gene323	0.091	-0.559	0.5118
Gene324	-0.133	0.194	0.51
Gene325	-0.01	-0.358	0.5076
Gene326	0.03	-0.224	0.5058
Gene327	-0.028	-0.715	0.4994
Gene328	0.017	-0.272	0.4955
Gene329	0.093	-0.276	0.4928
Gene330	-0.099	0.198	0.4928
Gene331	-0.094	-0.269	0.4925
Gene332	0.071	-0.216	0.4907
Gene333	0.053	-0.283	0.4902
Gene334	-0.084	0.267	0.4898
Gene335	-0.096	0.289	0.4889
Gene336	0.124	-0.279	0.4866
Gene337	-0.157	-0.255	0.486
Gene338	0.088	-0.203	0.4858
Gene339	0.056	0.202	0.4837
Gene340	0.29	0.228	0.4832
Gene341	-0.144	-0.271	0.4784
Gene342	-0.05	0.217	0.4761
Gene343	-0.277	-0.232	0.476
Gene344	0.182	0.235	0.4754
Gene345	-0.24	-0.251	0.4745
Gene346	-0.072	0.244	0.4738
Gene347	0.005	-0.254	0.4726
Gene348	0.032	-0.292	0.4702
Gene349	0.212	-0.199	0.4691
Gene350	-0.139	0.186	0.4679
Gene351	0.264	0.232	0.4662
Gene352	-0.085	-0.241	0.466
Gene353	-0.328	-0.192	0.4637
Gene354	-0.226	0.411	0.4633
Gene355	0.032	0.227	0.4621
Gene356	0.035	0.36	0.4596
Gene357	-0.109	-0.272	0.459
Gene358	-0.238	-0.338	0.4561
Gene359	-0.064	0.242	0.4548
Gene360	-0.006	-0.22	0.4545
Gene361	0.448	0.28	0.4526
Gene362	0.077	0.211	0.4501
Gene363	0.066	0.238	0.45
Gene364	0.161	0.183	0.4498
Gene365	-0.157	0.293	0.4463
Gene366	0.27	-0.622	0.4458
Gene367	-0.043	-0.186	0.4457
Gene368	0.158	-0.196	0.4411
Gene369	0.126	-0.297	0.4399
Gene370	0.084	-0.209	0.4381
Gene371	0.061	-0.207	0.4375
Gene372	0.042	-0.581	0.4371
Gene373	-0.101	0.235	0.4353
Gene374	-0.097	-0.35	0.4312
Gene375	-0.035	-0.21	0.4311
Gene376	0.005	-0.181	0.431
Gene377	0.074	-0.2	0.4305
Gene378	-0.11	0.35	0.4296
Gene379	-0.157	-0.499	0.4287
Gene380	-0.056	-0.276	0.4263
Gene381	0.014	-0.29	0.4263
Gene382	-0.125	0.21	0.4252
Gene383	-0.376	-0.381	0.4244
Gene384	0.037	0.245	0.4237
Gene385	-0.05	0.267	0.4229
Gene386	0.056	-0.215	0.4206
Gene387	0.218	-0.332	0.4206
Gene388	-0.127	0.224	0.4204
Gene389	-0.026	0.398	0.4179
Gene390	0.137	-0.371	0.417
Gene391	-0.162	-0.534	0.4161
Gene392	0.147	-0.205	0.4153
Gene393	-0.046	0.249	0.4123
Gene394	0.147	-0.204	0.4113
Gene395	-0.054	0.186	0.4104
Gene396	0.063	0.194	0.4102
Gene397	0.012	-0.257	0.4102
Gene398	-0.098	-0.244	0.4088
Gene399	1.222	0.554	0.4079
Gene400	0.025	0.186	0.4057
Gene401	-0.021	-0.196	0.4035
Gene402	-0.064	0.253	0.4016
Gene403	-0.095	0.211	0.4008
Gene404	-0.159	0.901	0.3978
Gene405	0.201	0.455	0.3969
Gene406	0.037	0.21	0.3962
Gene407	0.018	-0.177	0.396
Gene408	0.047	0.177	0.3957
Gene409	-0.014	-0.228	0.3954
Gene410	0.093	-0.168	0.3938
Gene411	0.2	0.163	0.3933
Gene412	-0.003	0.291	0.393
Gene413	0.081	0.358	0.3927
Gene414	0.105	-0.267	0.3925
Gene415	-0.126	0.214	0.3923
Gene416	0.092	-0.163	0.392
Gene417	0.324	0.257	0.3914
Gene418	0.274	0.213	0.3909
Gene419	-0.007	0.267	0.3899
Gene420	-0.1	-0.211	0.3888
Gene421	-0.051	0.316	0.3864
Gene422	-0.182	0.25	0.3863
Gene423	0.052	0.21	0.3817
Gene424	-0.162	0.153	0.3807
Gene425	-0.084	-0.164	0.3762
Gene426	0.028	0.241	0.3738
Gene427	0.024	-0.212	0.3716
Gene428	-0.14	-0.277	0.3704
Gene429	-0.06	-0.157	0.3703
Gene430	0.103	-0.247	0.3671
Gene431	0.283	0.482	0.3655
Gene432	0.047	0.157	0.3648
Gene433	-0.109	0.19	0.3585
Gene434	0.054	-0.219	0.3585
Gene435	0.191	-0.184	0.3585
Gene436	0.199	0.257	0.3581
Gene437	-0.163	-0.276	0.3549
Gene438	0.076	-0.204	0.3545
Gene439	-0.171	-0.232	0.3538
Gene440	0.013	0.197	0.3526
Gene441	-0.102	0.177	0.3522
Gene442	0.093	0.239	0.3519
Gene443	0.246	-0.392	0.3518
Gene444	-0.073	0.152	0.3494
Gene445	-0.047	0.191	0.3476
Gene446	0.42	0.228	0.3471
Gene447	-0.031	0.202	0.3465
Gene448	0.139	0.204	0.3449
Gene449	0.055	0.22	0.3443
Gene450	0	0.153	0.3429
Gene451	0.116	-0.232	0.3412
Gene452	0.357	-0.416	0.3408
Gene453	-0.033	-0.166	0.3406
Gene454	1.014	1.453	0.3403
Gene455	0.182	0.162	0.3392
Gene456	0.097	-0.227	0.339
Gene457	-0.243	-0.237	0.3384
Gene458	0.076	-0.146	0.338
Gene459	0.307	0.247	0.3374
Gene460	-0.045	-0.158	0.3364
Gene461	0.114	-0.21	0.336
Gene462	0.191	0.156	0.3358
Gene463	0.151	-0.205	0.3329
Gene464	0.133	0.222	0.3323
Gene465	-0.387	0.359	0.3321
Gene466	0.165	0.18	0.3319
Gene467	0.078	0.169	0.3305
Gene468	0.016	0.142	0.3303
Gene469	0.109	-0.149	0.3299
Gene470	0.073	-0.199	0.3294
Gene471	-0.141	0.216	0.3292
Gene472	0.007	-0.219	0.3274
Gene473	-0.042	0.232	0.3274
Gene474	-0.022	0.205	0.3247
Gene475	-0.097	-0.146	0.3225
Gene476	-0.064	-0.136	0.3225
Gene477	-0.1	0.159	0.3222
Gene478	0.02	-0.151	0.3207
Gene479	-0.04	0.162	0.3197
Gene480	-0.244	0.332	0.3193
Gene481	0.048	-0.178	0.3173
Gene482	0.047	-0.186	0.3173
Gene483	0.372	0.24	0.317
Gene484	0.258	0.204	0.3157
Gene485	-0.174	-0.16	0.3149
Gene486	-0.163	-0.172	0.313
Gene487	0.009	0.174	0.3128
Gene488	-0.122	0.214	0.3126
Gene489	0.021	0.221	0.3111
Gene490	-0.238	0.176	0.3101
Gene491	-0.062	0.15	0.3089
Gene492	0.093	-0.313	0.3076
Gene493	0.13	0.178	0.3073
Gene494	-0.026	0.159	0.3067
Gene495	0.021	-0.231	0.306
Gene496	-0.022	-0.153	0.3055
Gene497	0.267	-0.134	0.3023
Gene498	-0.091	0.208	0.3021
Gene499	-0.217	0.338	0.3009
Gene500	-0.127	0.15	0.3008
Gene501	-0.073	0.16	0.3003
Gene502	0.095	0.131	0.3
Gene503	-0.014	0.176	0.2996
Gene504	0.116	-0.142	0.299
Gene505	-0.064	0.158	0.2985
Gene506	-0.066	-0.232	0.2955
Gene507	-0.195	-0.144	0.2949
Gene508	-0.067	-0.176	0.2936
Gene509	-0.029	0.255	0.2932
Gene510	-0.051	0.162	0.2926
Gene511	-0.043	0.126	0.2926
Gene512	0.031	-0.189	0.2925
Gene513	-0.06	-0.14	0.2922
Gene514	-0.204	-0.209	0.2919
Gene515	0.178	0.139	0.2905
Gene516	0.017	0.199	0.2897
Gene517	0.174	-0.173	0.2855
Gene518	0.272	0.147	0.2849
Gene519	-0.055	-0.157	0.2846
Gene520	-0.182	-0.271	0.2826
Gene521	0.067	-0.132	0.2819
Gene522	0.093	-0.126	0.2807
Gene523	-0.062	-0.161	0.2806
Gene524	0.049	0.181	0.2805
Gene525	0.039	0.142	0.28
Gene526	-0.127	-0.167	0.2793
Gene527	-0.064	-0.221	0.2791
Gene528	-0.004	-0.332	0.278
Gene529	-0.153	0.133	0.2778
Gene530	0.198	-0.175	0.2777
Gene531	-0.118	0.139	0.2765
Gene532	-0.071	-0.155	0.2743
Gene533	-0.04	-0.125	0.274
Gene534	-0.069	0.161	0.272
Gene535	0.128	0.131	0.2713
Gene536	-0.056	0.135	0.2692
Gene537	0.155	-0.126	0.2688
Gene538	-0.107	0.14	0.2659
Gene539	-0.203	0.142	0.2641
Gene540	-0.119	-0.123	0.2627
Gene541	-0.039	0.148	0.262
Gene542	-0.209	0.382	0.2613
Gene543	0.152	-0.111	0.2603
Gene544	-0.125	0.112	0.2567
Gene545	-0.042	0.112	0.2562
Gene546	-0.068	-0.146	0.2559
Gene547	0.051	0.124	0.255
Gene548	-0.191	-0.155	0.2533
Gene549	0.001	-0.206	0.253
Gene550	0.059	0.135	0.2519
Gene551	0.144	0.201	0.2517
Gene552	0.426	-0.258	0.2509
Gene553	0.133	0.121	0.2509
Gene554	-0.006	-0.197	0.2509
Gene555	-0.106	0.126	0.2495
Gene556	0.02	-0.264	0.249
Gene557	0.036	0.108	0.247
Gene558	-0.556	-0.478	0.2468
Gene559	0.136	0.155	0.2437
Gene560	-0.223	-0.123	0.2435
Gene561	-0.038	-0.111	0.2431
Gene562	0.092	-0.131	0.2426
Gene563	-0.123	0.108	0.2422
Gene564	0.055	0.16	0.2415
Gene565	-0.053	0.134	0.2413
Gene566	0.289	-0.119	0.2404
Gene567	0.12	0.122	0.2383
Gene568	-0.12	0.124	0.2383
Gene569	0.045	0.172	0.2371
Gene570	-0.029	-0.142	0.2368
Gene571	0.026	-0.167	0.2355
Gene572	-0.017	-0.167	0.2353
Gene573	-0.279	-0.278	0.2322
Gene574	-0.051	0.171	0.2299
Gene575	0.08	-0.119	0.2298
Gene576	0.306	0.288	0.2289
Gene577	-0.035	0.129	0.2284
Gene578	-0.153	-0.138	0.2274
Gene579	-0.102	-0.195	0.2261
Gene580	0.061	0.145	0.2257
Gene581	-0.269	0.339	0.2254
Gene582	0.056	-0.128	0.2253
Gene583	-0.368	0.226	0.2239
Gene584	0.017	0.107	0.2238
Gene585	0.004	-0.108	0.2237
Gene586	-0.057	-0.207	0.2221
Gene587	0.025	-0.115	0.2218
Gene588	-0.05	-0.124	0.221
Gene589	0.34	0.121	0.2208
Gene590	0.03	0.155	0.2207
Gene591	0.095	-0.113	0.2201
Gene592	-0.032	-0.131	0.2196
Gene593	-0.213	-0.18	0.2188
Gene594	0.187	0.132	0.2175
Gene595	-0.016	0.123	0.2166
Gene596	0.174	-0.15	0.2164
Gene597	0.05	0.13	0.2153
Gene598	0.027	0.209	0.2137
Gene599	0.018	-0.106	0.2125
Gene600	-0.039	0.117	0.2117
Gene601	0.063	-0.118	0.2099
Gene602	0.039	0.147	0.2092
Gene603	0.049	-0.139	0.2092
Gene604	-0.081	0.149	0.2091
Gene605	-0.267	-0.234	0.2088
Gene606	0.008	0.119	0.2078
Gene607	0.32	0.205	0.2073
Gene608	-0.171	0.1	0.2049
Gene609	0.019	-0.11	0.2038
Gene610	0.044	-0.129	0.2038
Gene611	-0.113	-0.124	0.2036
Gene612	-0.036	0.121	0.203
Gene613	-0.464	0.127	0.2013
Gene614	-0.104	0.148	0.2002
Gene615	-0.111	-0.114	0.1999
Gene616	0.133	-0.103	0.1987
Gene617	0.12	0.218	0.1985
Gene618	-0.07	0.221	0.1973
Gene619	0.073	-0.161	0.1972
Gene620	-0.061	-0.095	0.1968
Gene621	-0.076	-0.112	0.196
Gene622	-0.007	-0.203	0.1952
Gene623	0.057	-0.105	0.1946
Gene624	0.167	-0.272	0.1935
Gene625	-0.059	0.16	0.1931
Gene626	0	0.094	0.193
Gene627	-0.049	0.194	0.1929
Gene628	0.053	-0.111	0.1927
Gene629	0.051	0.097	0.1927
Gene630	-0.163	-0.099	0.1926
Gene631	0.045	0.165	0.1921
Gene632	-0.09	0.087	0.1912
Gene633	-0.004	0.1	0.1902
Gene634	-0.116	-0.157	0.1896
Gene635	-0.046	0.108	0.1893
Gene636	-0.05	0.133	0.1886
Gene637	-0.052	-0.107	0.1879
Gene638	0.025	-0.088	0.187
Gene639	0.072	0.091	0.1867
Gene640	0.107	0.114	0.1865
Gene641	-0.148	-0.091	0.1858
Gene642	0.007	-0.115	0.1851
Gene643	0.171	0.105	0.1846
Gene644	0.35	0.109	0.1846
Gene645	0.03	-0.125	0.1837
Gene646	-0.048	-0.145	0.1835
Gene647	0.037	0.154	0.1824
Gene648	-0.173	0.115	0.1814
Gene649	0.084	0.09	0.18
Gene650	0	-0.126	0.18
Gene651	-0.046	0.099	0.1799
Gene652	-0.013	0.105	0.1794
Gene653	0.07	-0.139	0.1789
Gene654	0.135	-0.117	0.1789
Gene655	-0.043	0.091	0.1787
Gene656	-0.027	-0.081	0.1787
Gene657	0.049	0.103	0.1783
Gene658	0.142	-0.09	0.178
Gene659	0.002	-0.093	0.1778
Gene660	-0.047	0.097	0.1776
Gene661	0.007	0.165	0.1764
Gene662	0.095	0.089	0.1764
Gene663	0.111	-0.157	0.175
Gene664	0.066	0.126	0.1748
Gene665	-0.007	0.099	0.1738
Gene666	-0.106	0.122	0.1736
Gene667	0.051	-0.116	0.1731
Gene668	-0.07	0.079	0.173
Gene669	0.078	0.088	0.1713
Gene670	-0.176	0.142	0.1713
Gene671	0.056	-0.083	0.1699
Gene672	-0.198	-0.22	0.1695
Gene673	0.045	-0.08	0.1683
Gene674	-0.025	-0.081	0.168
Gene675	0.124	-0.149	0.1667
Gene676	0.107	-0.089	0.1662
Gene677	0.154	-0.086	0.1657
Gene678	0.021	-0.097	0.1648
Gene679	0.126	-0.117	0.1647
Gene680	-0.284	0.217	0.1644
Gene681	0.062	-0.114	0.1642
Gene682	0.126	-0.097	0.1639
Gene683	-0.059	0.099	0.1627
Gene684	-0.02	-0.126	0.1624
Gene685	0.207	0.078	0.1621
Gene686	0.081	-0.176	0.1617
Gene687	0.015	-0.105	0.1616
Gene688	0.406	-0.088	0.161
Gene689	0.157	0.104	0.1607
Gene690	-0.075	-0.088	0.1607
Gene691	-0.003	-0.158	0.1595
Gene692	-0.005	0.105	0.1582
Gene693	0.076	-0.102	0.1581
Gene694	0.266	-0.238	0.1578
Gene695	-0.207	0.094	0.157
Gene696	-0.053	-0.097	0.1569
Gene697	-0.119	0.089	0.1555
Gene698	-0.169	-0.074	0.1553
Gene699	-0.202	0.102	0.1542
Gene700	-0.034	-0.106	0.153
Gene701	0.026	0.08	0.1512
Gene702	0.065	-0.084	0.1509
Gene703	-0.001	-0.141	0.1499
Gene704	0.004	-0.086	0.1495
Gene705	0.06	0.125	0.1493
Gene706	0.159	-0.203	0.1492
Gene707	-0.193	-0.128	0.1492
Gene708	-0.032	0.082	0.1491
Gene709	0.261	-0.109	0.1489
Gene710	-0.095	0.109	0.1482
Gene711	0.165	-0.104	0.1479
Gene712	0.131	0.089	0.1477
Gene713	-0.076	-0.085	0.1477
Gene714	-0.044	0.078	0.1468
Gene715	-0.255	0.096	0.1465
Gene716	-0.155	0.083	0.1457
Gene717	0.077	-0.083	0.1453
Gene718	-0.21	-0.087	0.145
Gene719	0.087	-0.081	0.1447
Gene720	-0.189	-0.09	0.1444
Gene721	0.066	0.128	0.1409
Gene722	-0.045	0.081	0.1403
Gene723	-0.091	0.101	0.1399
Gene724	-0.009	-0.07	0.1398
Gene725	-0.162	0.092	0.1386
Gene726	-0.049	-0.067	0.1376
Gene727	0.313	-0.114	0.1375
Gene728	0.065	-0.109	0.1371
Gene729	0.654	0.228	0.1365
Gene730	-0.081	-0.131	0.1364
Gene731	-0.192	-0.076	0.1345
Gene732	0.036	0.125	0.1343
Gene733	-0.067	-0.083	0.1341
Gene734	-0.108	-0.104	0.1339
Gene735	0.056	0.075	0.1335
Gene736	-0.034	0.077	0.1333
Gene737	-0.134	0.07	0.133
Gene738	-0.157	-0.067	0.1319
Gene739	0.011	-0.099	0.1313
Gene740	0.039	-0.07	0.1305
