	Population	LifeExpectancy	GDPPerCapita
R98	51365468	39.348	661.6374577
R99	56839289	41.216	686.3415538
R100	62821884	43.453	721.1860862
R101	70759295	45.252	630.2336265
R102	80428306	46.923	659.8772322
R103	93074406	50.009	676.9818656
R104	103764241	52.819	751.9794035
R105	113704579	56.018	837.8101643
R106	123315288	59.412	972.7700352
R107	135656790	62.013	1136.39043
R108	150448339	64.062	1391.253792
R109	8730405	68	8343.105127
R110	8989111	69.24	9714.960623
R111	9218400	70.25	10991.20676
R112	9556500	70.94	13149.04119
R113	9709100	71.44	16672.14356
R114	9821800	72.8	19117.97448
R115	9856303	73.93	20979.84589
R116	9870200	75.35	22525.56308
R117	10045622	76.46	25575.57069
R118	10199787	77.53	27561.19663
R119	10311970	78.32	30485.88375
R120	10392226	79.441	33692.60508
R121	1738315	38.223	1062.7522
R122	1925173	40.358	959.6010805
R123	2151895	42.618	949.4990641
R124	2427334	44.885	1035.831411
R125	2761407	47.014	1085.796879
R126	3168267	49.19	1029.161251
R127	3641603	50.904	1277.897616
R128	4243788	52.337	1225.85601
R129	4981671	53.919	1191.207681
R130	6066080	54.777	1232.975292
R131	7026113	54.406	1372.877931
R132	8078314	56.728	1441.284873
R133	2883315	40.414	2677.326347
R134	3211738	41.89	2127.686326
R135	3593918	43.428	2180.972546
R136	4040665	45.032	2586.886053
R137	4565872	46.714	2980.331339
R138	5079716	50.023	3548.097832
R139	5642224	53.859	3156.510452
R140	6156369	57.251	2753.69149
R141	6893451	59.957	2961.699694
R142	7693188	62.05	3326.143191
R143	8445134	63.883	3413.26269
R144	9119152	65.554	3822.137084
R145	2791000	53.82	973.5331948
R146	3076000	58.45	1353.989176
R147	3349000	61.93	1709.683679
R148	3585000	64.79	2172.352423
R149	3819000	67.45	2860.16975
R150	4086000	69.86	3528.481305
R151	4172693	70.69	4126.613157
R152	4338977	71.14	4314.114757
R153	4256013	72.178	2546.781445
R154	3607000	73.244	4766.355904
R155	4165416	74.09	6018.975239
R156	4552198	74.852	7446.298803
R157	442308	47.622	851.2411407
R158	474639	49.618	918.2325349
R159	512764	51.52	983.6539764
R160	553541	53.298	1214.709294
R161	619351	56.024	2263.611114
R162	781472	59.319	3214.857818
R163	970347	61.484	4551.14215
R164	1151184	63.622	6205.88385
R165	1342614	62.745	7954.111645
R166	1536536	52.556	8647.142313
R167	1630347	46.634	11003.60508
R168	1639131	50.728	12569.85177
R169	56602560	50.917	2108.944355
R170	65551171	53.285	2487.365989
R171	76039390	55.665	3336.585802
R172	88049823	57.632	3429.864357
R173	100840058	59.504	4985.711467
R174	114313951	61.489	6660.118654
R175	128962939	63.336	7030.835878
R176	142938076	65.205	7807.095818
R177	155975974	67.057	6950.283021
R178	168546719	69.388	7957.980824
R179	179914212	71.006	8131.212843
R180	190010647	72.39	9065.800825
R181	7274900	59.6	2444.286648
R182	7651254	66.61	3008.670727
R183	8012946	69.51	4254.337839
R184	8310226	70.42	5577.0028
R185	8576200	70.9	6597.494398
R186	8797022	70.81	7612.240438
R187	8892098	71.08	8224.191647
R188	8971958	71.34	8239.854824
R189	8658506	71.19	6302.623438
R190	8066057	70.32	5970.38876
R191	7661799	72.14	7696.777725
R192	7322858	73.005	10680.79282
R193	4469979	31.975	543.2552413
R194	4713416	34.906	617.1834648
R195	4919632	37.814	722.5120206
R196	5127935	40.697	794.8265597
R197	5433886	43.591	854.7359763
R198	5889574	46.137	743.3870368
R199	6634596	48.122	807.1985855
R200	7586551	49.557	912.0631417
R201	8878303	50.26	931.7527731
R202	10352843	50.324	946.2949618
R203	12251209	50.65	1037.645221
R204	14326203	52.295	1217.032994
R205	2445618	39.031	339.2964587
R206	2667518	40.533	379.5646281
R207	2961915	42.045	355.2032273
R208	3330989	43.548	412.9775136
R209	3529983	44.057	464.0995039
R210	3834415	45.91	556.1032651
R211	4580410	47.471	559.603231
R212	5126023	48.211	621.8188189
R213	5809236	44.736	631.6998778
R214	6121610	45.326	463.1151478
R215	7021078	47.36	446.4035126
R216	8390505	49.58	430.0706916
R217	4693836	39.417	368.4692856
R218	5322536	41.366	434.0383364
R219	6083619	43.415	496.9136476
R220	6960067	45.415	523.4323142
R221	7450606	40.317	421.6240257
R222	6978607	31.22	524.9721832
R223	7272485	50.957	624.4754784
R224	8371791	53.914	683.8955732
R225	10150094	55.803	682.3031755
R226	11782962	56.534	734.28517
R227	12926707	56.752	896.2260153
R228	14131858	59.723	1713.778686
R229	5009067	38.523	1172.667655
R230	5359923	40.428	1313.048099
R231	5793633	42.643	1399.607441
R232	6335506	44.799	1508.453148
R233	7021028	47.049	1684.146528
R234	7959865	49.355	1783.432873
R235	9250831	52.961	2367.983282
R236	10780667	54.985	2602.664206
R237	12467171	54.314	1793.163278
R238	14195809	52.199	1694.337469
R239	15929988	49.856	1934.011449
R240	17696293	50.43	2042.09524
R241	14785584	68.75	11367.16112
R242	17010154	69.96	12489.95006
R243	18985849	71.3	13462.48555
R244	20819767	72.13	16076.58803
R245	22284500	72.88	18970.57086
R246	23796400	74.21	22090.88306
R247	25201900	75.76	22898.79214
R248	26549700	76.86	26626.51503
R249	28523502	77.95	26342.88426
R250	30305843	78.61	28954.92589
R251	31902268	79.77	33328.96507
R252	33390141	80.653	36319.23501
R253	1291695	35.463	1071.310713
R254	1392284	37.464	1190.844328
R255	1523478	39.475	1193.068753
R256	1733638	41.478	1136.056615
R257	1927260	43.457	1070.013275
R258	2167533	46.775	1109.374338
R259	2476971	48.295	956.7529907
R260	2840009	50.485	844.8763504
R261	3265124	49.396	747.9055252
R262	3696513	46.066	740.5063317
R263	4048013	43.308	738.6906068
R264	4369038	44.741	706.016537
R265	2682462	38.092	1178.665927
R266	2894855	39.881	1308.495577
R267	3150417	41.716	1389.817618
R268	3495967	43.601	1196.810565
R269	3899068	45.569	1104.103987
R270	4388260	47.383	1133.98495
R271	4875118	49.517	797.9081006
R272	5498955	51.051	952.386129
R273	6429417	51.724	1058.0643
R274	7562011	51.573	1004.961353
R275	8835739	50.525	1156.18186
R276	10238807	50.651	1704.063724
R277	6377619	54.745	3939.978789
R278	7048426	56.074	4315.622723
R279	7961258	57.924	4519.094331
R280	8858908	60.523	5106.654313
R281	9717524	63.441	5494.024437
R282	10599793	67.052	4756.763836
R283	11487112	70.565	5095.665738
R284	12463354	72.492	5547.063754
R285	13572994	74.126	7596.125964
R286	14599929	75.816	10118.05318
R287	15497046	77.86	10778.78385
R288	16284741	78.553	13171.63885
R289	556263528	44	400.4486107
R290	637408000	50.54896	575.9870009
R291	665770000	44.50136	487.6740183
R292	754550000	58.38112	612.7056934
R293	862030000	63.11888	676.9000921
R294	943455000	63.96736	741.2374699
R295	1000281000	65.525	962.4213805
R296	1084035000	67.274	1378.904018
R297	1164970000	68.69	1655.784158
R298	1230075000	70.426	2289.234136
R299	1280400000	72.028	3119.280896
R300	1318683096	72.961	4959.114854
R301	12350771	50.643	2144.115096
R302	14485993	55.118	2323.805581
R303	17009885	57.863	2492.351109
R304	19764027	59.963	2678.729839
R305	22542890	61.623	3264.660041
R306	25094412	63.837	3815.80787
R307	27764644	66.653	4397.575659
R308	30964245	67.768	4903.2191
R309	34202721	68.421	5444.648617
R310	37657830	70.313	6117.361746
R311	41008227	71.682	5755.259962
R312	44227550	72.889	7006.580419
R313	153936	40.715	1102.990936
R314	170928	42.46	1211.148548
R315	191689	44.467	1406.648278
R316	217378	46.472	1876.029643
R317	250027	48.944	1937.577675
R318	304739	50.939	1172.603047
R319	348643	52.933	1267.100083
R320	395114	54.926	1315.980812
R321	454429	57.939	1246.90737
R322	527982	60.66	1173.618235
R323	614382	62.974	1075.811558
R324	710960	65.152	986.1478792
R325	14100005	39.143	780.5423257
R326	15577932	40.652	905.8602303
R327	17486434	42.122	896.3146335
R328	19941073	44.056	861.5932424
R329	23007669	45.989	904.8960685
R330	26480870	47.804	795.757282
R331	30646495	47.784	673.7478181
R332	35481645	47.412	672.774812
R333	41672143	45.548	457.7191807
R334	47798986	42.587	312.188423
R335	55379852	44.966	241.1658765
R336	64606759	46.462	277.5518587
R337	854885	42.111	2125.621418
R338	940458	45.053	2315.056572
R339	1047924	48.435	2464.783157
R340	1179760	52.04	2677.939642
R341	1340458	54.907	3213.152683
R342	1536769	55.625	3259.178978
R343	1774735	56.695	4879.507522
R344	2064095	57.47	4201.194937
R345	2409073	56.433	4016.239529
R346	2800947	52.962	3484.164376
R347	3328795	52.97	3484.06197
R348	3800610	55.322	3632.557798
R349	926317	57.206	2627.009471
R350	1112300	60.026	2990.010802
R351	1345187	62.842	3460.937025
R352	1588717	65.424	4161.727834
R353	1834796	67.849	5118.146939
R354	2108457	70.75	5926.876967
R355	2424367	73.45	5262.734751
R356	2799811	74.752	5629.915318
R357	3173216	75.713	6160.416317
R358	3518107	77.26	6677.045314
R359	3834934	78.123	7723.447195
R360	4133884	78.782	9645.06142
R361	2977019	40.477	1388.594732
R362	3300000	42.469	1500.895925
R363	3832408	44.93	1728.869428
R364	4744870	47.35	2052.050473
R365	6071696	49.801	2378.201111
R366	7459574	52.374	2517.736547
R367	9025951	53.983	2602.710169
R368	10761098	54.655	2156.956069
R369	12772596	52.044	1648.073791
R370	14625967	47.991	1786.265407
R371	16252726	46.832	1648.800823
R372	18013409	48.328	1544.750112
R373	3882229	61.21	3119.23652
R374	3991242	64.77	4338.231617
R375	4076557	67.13	5477.890018
R376	4174366	68.5	6960.297861
R377	4225310	69.61	9164.090127
R378	4318673	70.64	11305.38517
R379	4413368	70.46	13221.82184
R380	4484310	71.52	13822.58394
R381	4494013	72.527	8447.794873
R382	4444595	73.68	9875.604515
R383	4481020	74.876	11628.38895
R384	4493312	75.748	14619.22272
R385	6007797	59.421	5586.53878
R386	6640752	62.325	6092.174359
R387	7254373	65.246	5180.75591
R388	8139332	68.29	5690.268015
R389	8831348	70.723	5305.445256
R390	9537988	72.649	6380.494966
R391	9789224	73.717	7316.918107
R392	10239839	74.174	7532.924763
R393	10723260	74.414	5592.843963
R394	10983007	76.151	5431.990415
R395	11226999	77.158	6340.646683
R396	11416987	78.273	8948.102923
R397	9125183	66.87	6876.14025
R398	9513758	69.03	8256.343918
R399	9620282	69.9	10136.86713
R400	9835109	70.38	11399.44489
R401	9862158	70.29	13108.4536
R402	10161915	70.71	14800.16062
R403	10303704	70.96	15377.22855
R404	10311597	71.58	16310.4434
R405	10315702	72.4	14297.02122
R406	10300707	74.01	16048.51424
R407	10256295	75.51	17596.21022
R408	10228744	76.486	22833.30851
R409	4334000	70.78	9692.385245
R410	4487831	71.81	11099.65935
R411	4646899	72.35	13583.31351
R412	4838800	72.96	15937.21123
R413	4991596	73.47	18866.20721
R414	5088419	74.69	20422.9015
R415	5117810	74.63	21688.04048
R416	5127024	74.8	25116.17581
R417	5171393	75.33	26406.73985
R418	5283663	76.11	29804.34567
R419	5374693	77.18	32166.50006
R420	5468120	78.332	35278.41874
R421	63149	34.812	2669.529475
R422	71851	37.328	2864.969076
R423	89898	39.693	3020.989263
R424	127617	42.074	3020.050513
R425	178848	44.366	3694.212352
R426	228694	46.519	3081.761022
R427	305991	48.812	2879.468067
R428	311025	50.04	2880.102568
R429	384156	51.604	2377.156192
R430	417908	53.157	1895.016984
R431	447416	53.373	1908.260867
R432	496374	54.791	2082.481567
R433	2491346	45.928	1397.717137
R434	2923186	49.828	1544.402995
R435	3453434	53.459	1662.137359
R436	4049146	56.751	1653.723003
R437	4671329	59.631	2189.874499
R438	5302800	61.788	2681.9889
R439	5968349	63.727	2861.092386
R440	6655297	66.046	2899.842175
R441	7351181	68.457	3044.214214
R442	7992357	69.957	3614.101285
R443	8650322	70.847	4563.808154
R444	9319622	72.235	6025.374752
R445	3548753	48.357	3522.110717
R446	4058385	51.356	3780.546651
R447	4681707	54.64	4086.114078
R448	5432424	56.678	4579.074215
R449	6298651	58.796	5280.99471
R450	7278866	61.31	6679.62326
R451	8365850	64.342	7213.791267
R452	9545158	67.231	6481.776993
R453	10748394	69.613	7103.702595
R454	11911819	72.312	7429.455877
R455	12921234	74.173	5773.044512
R456	13755680	74.994	6873.262326
R457	22223309	41.893	1418.822445
R458	25009741	44.444	1458.915272
R459	28173309	46.992	1693.335853
R460	31681188	49.293	1814.880728
R461	34807417	51.137	2024.008147
R462	38783863	53.319	2785.493582
R463	45681811	56.006	3503.729636
R464	52799062	59.797	3885.46071
R465	59402198	63.674	3794.755195
R466	66134291	67.217	4173.181797
R467	73312559	69.806	4754.604414
R468	80264543	71.338	5581.180998
R469	2042865	45.262	3048.3029
R470	2355805	48.57	3421.523218
R471	2747687	52.307	3776.803627
R472	3232927	55.855	4358.595393
R473	3790903	58.207	4520.246008
R474	4282586	56.696	5138.922374
R475	4474873	56.604	4098.344175
R476	4842194	63.154	4140.442097
R477	5274649	66.798	4444.2317
R478	5783439	69.535	5154.825496
R479	6353681	70.734	5351.568666
R480	6939688	71.878	5728.353514
R481	216964	34.482	375.6431231
R482	232922	35.983	426.0964081
R483	249220	37.485	582.8419714
R484	259864	38.987	915.5960025
R485	277603	40.516	672.4122571
R486	192675	42.024	958.5668124
R487	285483	43.662	927.8253427
R488	341244	45.664	966.8968149
R489	387838	47.545	1132.055034
R490	439971	48.245	2814.480755
R491	495627	49.348	7703.4959
R492	551201	51.579	12154.08975
R493	1438760	35.928	328.9405571
R494	1542611	38.047	344.1618859
R495	1666618	40.158	380.9958433
R496	1820319	42.189	468.7949699
R497	2260187	44.142	514.3242082
R498	2512642	44.535	505.7538077
R499	2637297	43.89	524.8758493
R500	2915959	46.453	521.1341333
R501	3668440	49.991	582.8585102
R502	4058319	53.378	913.47079
R503	4414865	55.24	765.3500015
R504	4906585	58.04	641.3695236
R505	20860941	34.078	362.1462796
R506	22815614	36.667	378.9041632
R507	25145372	40.059	419.4564161
R508	27860297	42.115	516.1186438
R509	30770372	43.515	566.2439442
R510	34617799	44.51	556.8083834
R511	38111756	44.916	577.8607471
R512	42999530	46.684	573.7413142
R513	52088559	48.091	421.3534653
R514	59861301	49.402	515.8894013
R515	67946797	50.725	530.0535319
R516	76511887	52.947	690.8055759
R517	4090500	66.55	6424.519071
R518	4324000	67.49	7545.415386
R519	4491443	68.75	9371.842561
R520	4605744	69.83	10921.63626
R521	4639657	70.87	14358.8759
R522	4738902	72.52	15605.42283
R523	4826933	74.55	18533.15761
R524	4931729	74.83	21141.01223
R525	5041039	75.7	20647.16499
R526	5134406	77.13	23723.9502
R527	5193039	78.37	28204.59057
R528	5238460	79.313	33207.0844
R529	42459667	67.41	7029.809327
R530	44310863	68.93	8662.834898
R531	47124000	70.51	10560.48553
R532	49569000	71.55	12999.91766
R533	51732000	72.38	16107.19171
R534	53165019	73.83	18292.63514
R535	54433565	74.89	20293.89746
R536	55630100	76.34	22066.44214
R537	57374179	77.46	24703.79615
R538	58623428	78.64	25889.78487
R539	59925035	79.59	28926.03234
R540	61083916	80.657	30470.0167
R541	420702	37.003	4293.476475
R542	434904	38.999	4976.198099
R543	455661	40.489	6631.459222
R544	489004	44.598	8358.761987
R545	537977	48.69	11401.94841
R546	706367	52.79	21745.57328
R547	753874	56.564	15113.36194
R548	880397	60.19	11864.40844
R549	985739	61.366	13522.15752
R550	1126189	60.461	14722.84188
R551	1299304	56.761	12521.71392
R552	1454867	56.735	13206.48452
R553	284320	30	485.2306591
R554	323150	32.065	520.9267111
R555	374020	33.896	599.650276
R556	439593	35.857	734.7829124
R557	517101	38.308	756.0868363
R558	608274	41.842	884.7552507
R559	715523	45.58	835.8096108
R560	848406	49.265	611.6588611
R561	1025384	52.644	665.6244126
R562	1235767	55.861	653.7301704
R563	1457766	58.041	660.5855997
R564	1688359	59.448	752.7497265
R565	69145952	67.5	7144.114393
R566	71019069	69.1	10187.82665
R567	73739117	70.3	12902.46291
R568	76368453	70.8	14745.62561
R569	78717088	71	18016.18027
R570	78160773	72.5	20512.92123
R571	78335266	73.8	22031.53274
R572	77718298	74.847	24639.18566
R573	80597764	76.07	26505.30317
R574	82011073	77.34	27788.88416
R575	82350671	78.67	30035.80198
R576	82400996	79.406	32170.37442
R577	5581001	43.149	911.2989371
R578	6391288	44.779	1043.561537
R579	7355248	46.452	1190.041118
R580	8490213	48.072	1125.69716
R581	9354120	49.875	1178.223708
R582	10538093	51.756	993.2239571
R583	11400338	53.744	876.032569
R584	14168101	55.729	847.0061135
R585	16278738	57.501	925.060154
R586	18418288	58.556	1005.245812
R587	20550751	58.453	1111.984578
R588	22873338	60.022	1327.60891
R589	7733250	65.86	3530.690067
R590	8096218	67.86	4916.299889
R591	8448233	69.51	6017.190733
R592	8716441	71	8513.097016
R593	8888628	72.34	12724.82957
R594	9308479	73.68	14195.52428
R595	9786480	75.24	15268.42089
R596	9974490	76.67	16120.52839
R597	10325429	77.03	17541.49634
R598	10502372	77.869	18747.69814
R599	10603863	78.256	22514.2548
R600	10706290	79.483	27538.41188
R601	3146381	42.023	2428.237769
R602	3640876	44.142	2617.155967
R603	4208858	46.954	2750.364446
R604	4690773	50.016	3242.531147
R605	5149581	53.738	4031.408271
R606	5703430	56.029	4879.992748
R607	6395630	58.137	4820.49479
R608	7326406	60.782	4246.485974
R609	8486949	63.373	4439.45084
R610	9803875	66.322	4684.313807
R611	11178650	68.978	4858.347495
R612	12572928	70.259	5186.050003
R613	2664249	33.609	510.1964923
R614	2876726	34.558	576.2670245
R615	3140003	35.753	686.3736739
R616	3451418	37.197	708.7595409
R617	3811387	38.842	741.6662307
R618	4227026	40.762	874.6858643
R619	4710497	42.891	857.2503577
R620	5650262	45.552	805.5724718
R621	6990574	48.576	794.3484384
R622	8048834	51.455	869.4497668
R623	8807818	53.676	945.5835837
R624	9947814	56.007	942.6542111
R625	580653	32.5	299.850319
R626	601095	33.489	431.7904566
R627	627820	34.488	522.0343725
R628	601287	35.492	715.5806402
R629	625361	36.486	820.2245876
R630	745228	37.465	764.7259628
R631	825987	39.327	838.1239671
R632	927524	41.245	736.4153921
R633	1050938	43.266	745.5398706
R634	1193708	44.873	796.6644681
R635	1332459	45.504	575.7047176
R636	1472041	46.388	579.231743
R637	3201488	37.579	1840.366939
R638	3507701	40.696	1726.887882
R639	3880130	43.59	1796.589032
R640	4318137	46.243	1452.057666
R641	4698301	48.042	1654.456946
R642	4908554	49.923	1874.298931
R643	5198399	51.461	2011.159549
R644	5756203	53.636	1823.015995
R645	6326682	55.089	1456.309517
R646	6913545	56.671	1341.726931
R647	7607651	58.137	1270.364932
R648	8502814	60.916	1201.637154
R649	1517453	41.912	2194.926204
R650	1770390	44.665	2220.487682
R651	2090162	48.041	2291.156835
R652	2500689	50.924	2538.269358
R653	2965146	53.884	2529.842345
R654	3055235	57.402	3203.208066
R655	3669448	60.909	3121.760794
R656	4372203	64.492	3023.096699
R657	5077347	66.399	3081.694603
R658	5867957	67.659	3160.454906
R659	6677328	68.565	3099.72866
R660	7483763	70.198	3548.330846
R661	2125900	60.96	3054.421209
R662	2736300	64.75	3629.076457
R663	3305200	67.65	4692.648272
R664	3722800	70	6197.962814
R665	4115700	72	8315.928145
R666	4583700	73.6	11186.14125
R667	5264500	75.45	14560.53051
R668	5584510	76.2	20038.47269
R669	5829696	77.601	24757.60301
R670	6495918	80	28377.63219
R671	6762476	81.495	30209.01516
R672	6980412	82.208	39724.97867
R673	9504000	64.03	5263.673816
R674	9839000	66.41	6040.180011
R675	10063000	67.96	7550.359877
R676	10223422	69.5	9326.64467
R677	10394091	69.76	10168.65611
R678	10637171	69.95	11674.83737
R679	10705535	69.39	12545.99066
R680	10612740	69.58	12986.47998
R681	10348684	69.17	10535.62855
R682	10244684	71.04	11712.7768
R683	10083313	72.59	14843.93556
R684	9956108	73.338	18008.94444
R685	147962	72.49	7267.688428
R686	165110	73.47	9244.001412
R687	182053	73.68	10350.15906
R688	198676	73.73	13319.89568
R689	209275	74.46	15798.06362
R690	221823	76.11	19654.96247
R691	233997	76.99	23269.6075
R692	244676	77.23	26923.20628
R693	259012	78.77	25144.39201
R694	271192	78.95	28061.09966
R695	288030	80.5	31163.20196
R696	301931	81.757	36180.78919
R697	372000000	37.373	546.5657493
R698	409000000	40.249	590.061996
R699	454000000	43.605	658.3471509
R700	506000000	47.193	700.7706107
R701	567000000	50.651	724.032527
R702	634000000	54.208	813.337323
R703	708000000	56.596	855.7235377
R704	788000000	58.553	976.5126756
R705	872000000	60.223	1164.406809
R706	959000000	61.765	1458.817442
R707	1034172547	62.879	1746.769454
R708	1110396331	64.698	2452.210407
R709	82052000	37.468	749.6816546
R710	90124000	39.918	858.9002707
R711	99028000	42.518	849.2897701
R712	109343000	45.964	762.4317721
R713	121282000	49.203	1111.107907
R714	136725000	52.702	1382.702056
R715	153343000	56.159	1516.872988
R716	169276000	60.137	1748.356961
R717	184816000	62.681	2383.140898
R718	199278000	66.041	3119.335603
R719	211060000	68.588	2873.91287
R720	223547000	70.65	3540.651564
R721	17272000	44.869	3035.326002
R722	19792000	47.181	3290.257643
R723	22874000	49.325	4187.329802
R724	26538000	52.469	5906.731805
R725	30614000	55.234	9613.818607
R726	35480679	57.702	11888.59508
R727	43072751	59.62	7608.334602
R728	51889696	63.04	6642.881371
R729	60397973	65.742	7235.653188
R730	63327987	68.042	8263.590301
R731	66907826	69.451	9240.761975
R732	69453570	70.964	11605.71449
R733	5441766	45.32	4129.766056
R734	6248643	48.437	6229.333562
R735	7240260	51.457	8341.737815
R736	8519282	54.459	8931.459811
R737	10061506	56.95	9576.037596
R738	11882916	60.413	14688.23507
R739	14173318	62.038	14517.90711
R740	16543189	65.044	11643.57268
R741	17861905	59.461	3745.640687
R742	20775703	58.811	3076.239795
R743	24001816	57.046	4390.717312
R744	27499638	59.545	4471.061906
R745	2952156	66.91	5210.280328
R746	2878220	68.9	5599.077872
R747	2830000	70.29	6631.597314
R748	2900100	71.08	7655.568963
R749	3024400	71.28	9530.772896
R750	3271900	72.03	11150.98113
R751	3480000	73.1	12618.32141
R752	3539900	74.36	13872.86652
R753	3557761	75.467	17558.81555
R754	3667233	76.122	24521.94713
R755	3879155	77.783	34077.04939
R756	4109086	78.885	40675.99635
R757	1620914	65.39	4086.522128
R758	1944401	67.84	5385.278451
R759	2310904	69.39	7105.630706
R760	2693585	70.75	8393.741404
R761	3095893	71.63	12786.93223
R762	3495918	73.06	13306.61921
R763	3858421	74.45	15367.0292
R764	4203148	75.6	17122.47986
R765	4936550	76.93	18051.52254
R766	5531387	78.269	20896.60924
R767	6029529	79.696	21905.59514
R768	6426679	80.745	25523.2771
R769	47666000	65.94	4931.404155
R770	49182000	67.81	6248.656232
R771	50843200	69.24	8243.58234
R772	52667100	71.06	10022.40131
R773	54365564	72.19	12269.27378
R774	56059245	73.48	14255.98475
R775	56535636	74.98	16537.4835
R776	56729703	76.42	19207.23482
R777	56840847	77.44	22013.64486
R778	57479469	78.82	24675.02446
R779	57926999	80.24	27968.09817
R780	58147733	80.546	28569.7197
R781	1426095	58.53	2898.530881
R782	1535090	62.61	4756.525781
R783	1665128	65.61	5246.107524
R784	1861096	67.51	6124.703451
R785	1997616	69	7433.889293
R786	2156814	70.11	6650.195573
R787	2298309	71.21	6068.05135
R788	2326606	71.77	6351.237495
R789	2378618	71.766	7404.923685
R790	2531311	72.262	7121.924704
R791	2664659	72.047	6994.774861
R792	2780132	72.567	7320.880262
R793	86459025	63.03	3216.956347
R794	91563009	65.5	4317.694365
R795	95831757	68.73	6576.649461
R796	100825279	71.43	9847.788607
R797	107188273	73.42	14778.78636
R798	113872473	75.38	16610.37701
R799	118454974	77.11	19384.10571
R800	122091325	78.67	22375.94189
R801	124329269	79.36	26824.89511
R802	125956499	80.69	28816.58499
R803	127065841	82	28604.5919
R804	127467972	82.603	31656.06806
R805	607914	43.158	1546.907807
R806	746559	45.669	1886.080591
R807	933559	48.126	2348.009158
R808	1255058	51.629	2741.796252
R809	1613551	56.528	2110.856309
R810	1937652	61.134	2852.351568
R811	2347031	63.739	4161.415959
R812	2820042	65.869	4448.679912
R813	3867409	68.015	3431.593647
R814	4526235	69.772	3645.379572
R815	5307470	71.263	3844.917194
R816	6053193	72.535	4519.461171
R817	6464046	42.27	853.540919
R818	7454779	44.686	944.4383152
R819	8678557	47.949	896.9663732
R820	10191512	50.654	1056.736457
R821	12044785	53.559	1222.359968
R822	14500404	56.155	1267.613204
R823	17661452	58.766	1348.225791
R824	21198082	59.339	1361.936856
R825	25020539	59.285	1341.921721
R826	28263827	54.407	1360.485021
R827	31386842	50.992	1287.514732
R828	35610177	54.11	1463.249282
