	logFC-X	logFC-Y
Gene263	-0.56	-1.74
Gene264	-0.9	-0.79
Gene265	-0.42	-0.03
Gene266	1.38	0.94
Gene267	-1.1	-0.74
Gene268	0.34	1.06
Gene269	2.31	1.84
Gene270	0.51	1.36
Gene271	-1.14	-0.95
Gene272	-0.12	-1.08
Gene273	-2.05	-0.24
Gene274	-1.23	-0.99
Gene275	-0.29	0.94
Gene276	-1.12	-0.7
Gene277	-0.13	0.1
Gene278	-0.86	-0.41
Gene279	2.31	1.91
Gene280	1.95	1.09
Gene281	-0.09	-0.68
Gene282	0.74	0.61
Gene283	1.29	1.54
Gene284	-0.96	-1.15
Gene285	0.05	0.54
Gene286	1.02	1.08
Gene287	-1.1	-1.71
Gene288	-1.07	-1.47
Gene289	-1.23	-1.04
Gene290	0.42	0.08
Gene291	-1.17	-0.85
Gene292	-1.72	-1.65
Gene293	0.23	0.31
Gene294	1.56	2.15
Gene295	-0.71	-1.29
Gene296	0.06	-0.43
Gene297	-0.88	-0.02
Gene298	-1.86	-1.76
Gene299	0.89	0.46
Gene300	0.75	1.11
Gene301	2.64	2.02
Gene302	2.13	2.42
Gene303	0.29	0.22
Gene304	0.08	1.41
Gene305	-0.18	-0.33
Gene306	0.34	0.02
Gene307	0.1	0.74
Gene308	-0.84	-1.01
Gene309	1.91	1.45
Gene310	0.12	-0.27
Gene311	-1.09	-0.13
Gene312	-0.85	-0.77
Gene313	-0.45	-2.01
Gene314	0.49	0.54
Gene315	0.79	0.42
Gene316	-1.47	-0.77
Gene317	0.38	0.03
Gene318	0.65	1.32
Gene319	-0.35	-0.24
Gene320	0.91	0.82
Gene321	0.45	0.01
Gene322	0.53	0.79
Gene323	0.82	1.25
Gene324	0.55	0.43
Gene325	0.28	-0.63
Gene326	0.11	0.35
Gene327	-0.16	0.88
Gene328	0.24	0.44
Gene329	1.92	2.64
Gene330	-0.35	0.26
Gene331	-0.12	-0.26
Gene332	0.22	1.14
Gene333	-1.1	-1.7
Gene334	0.65	-1.73
Gene335	3.02	2.57
Gene336	1.25	-0.16
Gene337	-0.56	-0.31
Gene338	-1.34	-2.3
Gene339	-0.31	1.16
Gene340	-1.43	-1.13
Gene341	1.44	1.17
Gene342	0.87	1.14
Gene343	1.07	0.68
Gene344	-1.32	-1.27
Gene345	-0.62	-0.51
Gene346	0.43	-0.17
Gene347	-0.28	-1.12
Gene348	-0.85	-1.35
Gene349	-0.45	-0.58
Gene350	-1.15	-0.56
Gene351	-1.78	-0.82
Gene352	1.8	1.88
Gene353	-0.04	-0.21
Gene354	-0.57	-0.69
Gene355	-0.08	-0.71
Gene356	-0.01	0.87
Gene357	0.24	-0.36
Gene358	0.01	-0.78
Gene359	-2.35	-3.24
Gene360	-1.15	-1.63
Gene361	0.38	0.32
Gene362	-1.16	-0.41
Gene363	0.2	-1.33
Gene364	1.28	1.05
Gene365	-0.24	-0.46
Gene366	1.64	0.39
Gene367	-0.23	-0.44
Gene368	0.22	0.53
Gene369	-0.19	-0.37
Gene370	0.97	1.06
Gene371	-0.32	0.07
Gene372	1.06	0.19
Gene373	-0.01	0.26
Gene374	-0.43	-1.85
Gene375	-0.7	-0.22
Gene376	-1.12	-0.31
Gene377	-0.79	-0.9
Gene378	1.41	1.97
Gene379	-0.76	-0.93
Gene380	1.08	0.96
Gene381	0.32	-0.98
Gene382	-2.61	-3.27
Gene383	-0.07	-1.84
Gene384	0.15	-0.15
Gene385	0.73	0.96
Gene386	-0.86	-0.67
Gene387	0.04	0.01
Gene388	1.54	1.4
Gene389	0.23	-0.65
Gene390	0.34	0.84
Gene391	0.03	0.91
Gene392	0.71	0.94
Gene393	0.62	0
Gene394	1.57	0.67
Gene395	-0.32	-0.48
Gene396	-1.15	-0.75
Gene397	0.85	0.79
Gene398	-0.51	-1.12
Gene399	-0.38	-1.07
Gene400	0.74	-0.02
Gene401	-1.04	-1.2
Gene402	1.15	0.87
Gene403	-0.51	0.37
Gene404	1.12	1.41
Gene405	0.79	-0.5
Gene406	0.43	0.09
Gene407	1.71	0.94
Gene408	0.64	-0.27
Gene409	-1.41	-1
Gene410	-1.78	-2.07
Gene411	-0.11	0.88
Gene412	-0.59	-0.62
Gene413	-0.06	0.39
Gene414	-0.87	0.12
Gene415	-0.48	0.02
Gene416	-1.26	-0.93
Gene417	1.43	1.18
Gene418	-0.13	0.14
Gene419	-1.52	-1.12
Gene420	-0.74	0.73
Gene421	0.43	0.5
Gene422	0.43	1.71
Gene423	-0.23	-0.06
Gene424	-0.69	0.69
Gene425	-1.73	-1.84
Gene426	0.58	0.03
Gene427	-0.44	1.27
Gene428	-0.83	-1.18
Gene429	0.46	-0.01
Gene430	-0.49	-1.13
Gene431	-1.01	-0.74
Gene432	-0.02	0.88
Gene433	-1.1	-1.15
Gene434	-0.48	-0.45
Gene435	0	0.39
Gene436	-1	-0.21
Gene437	0.89	0.98
Gene438	1.77	1.35
Gene439	-0.49	0.45
Gene440	1.23	0.52
Gene441	-0.07	-0.27
Gene442	0.13	-0.66
Gene443	-0.4	-0.54
Gene444	0.48	0.5
Gene445	2.12	1.48
Gene446	0.34	0.35
Gene447	-0.47	-0.38
Gene448	-0.42	-1.68
Gene449	-0.72	-0.82
Gene450	0.47	-0.34
Gene451	1.4	0.44
Gene452	-0.71	-0.46
Gene453	0.61	0.19
Gene454	-0.67	-0.11
Gene455	-1.25	-0.77
Gene456	0.38	1.16
Gene457	0.54	0.67
Gene458	0.45	-0.4
Gene459	-0.69	-0.92
Gene460	0.52	0.51
Gene461	1.03	1.87
Gene462	0.51	0.73
Gene463	0.51	-0.15
Gene464	1.06	0.51
Gene465	-2.14	-1.28
Gene466	0.72	-0.14
Gene467	1.16	0.4
Gene468	-0.9	-0.37
Gene469	-2.16	-2.28
Gene470	-0.08	0.59
Gene471	0.93	1.08
Gene472	0.7	0.78
Gene473	0.43	0.8
Gene474	-0.44	0.58
Gene475	0.09	-0.28
Gene476	-1.71	-1.51
Gene477	0.04	-0.24
Gene478	-0.38	-1.2
Gene479	-0.86	-0.45
Gene480	0.94	0.57
Gene481	-1	-0.73
Gene482	0.82	0.67
Gene483	-0.2	0.29
Gene484	0.52	0.26
Gene485	0.87	0.74
Gene486	1.61	1.2
Gene487	0.36	0.51
Gene488	0.38	0.06
Gene489	0.5	-0.04
Gene490	-0.74	-1.47
Gene491	-0.66	-0.43
Gene492	0.05	-0.47
Gene493	-1.58	-1.86
Gene494	-1.6	-0.83
Gene495	-1.15	-0.34
Gene496	-1.52	-0.86
Gene497	0.46	0.21
Gene498	-0.77	-0.38
Gene499	2.1	1.9
Gene500	-1.7	-1.3
Gene501	-0.65	0
Gene502	0.47	1.45
Gene503	-1.26	-0.47
Gene504	1.42	1.16
Gene505	1.5	2.11
Gene506	-0.26	0.22
Gene507	1.24	0.51
Gene508	-2.7	-1.33
Gene509	0.31	0.16
Gene510	-0.62	-0.71
Gene511	0.79	-0.41
Gene512	0.91	2.07
Gene513	-0.18	-1.56
Gene514	0.58	-0.23
Gene515	-0.34	-0.02
Gene516	-0.5	-0.73
Gene517	-1.42	-1.08
Gene518	-0.19	1.16
Gene519	0.48	0.28
Gene520	0.61	0.48
Gene521	-1.1	0.06
Gene522	-0.33	0.03
Gene523	-0.16	0.43
Gene524	-1.64	-0.38
Gene525	-2.48	-1.85
Gene526	-0.33	-1.02
Gene527	0.76	0.98
Gene528	1.07	1.44
Gene529	0.72	0.98
Gene530	-1.63	-1.38
Gene531	0.25	1.47
Gene532	-0.85	-0.95
Gene533	0.74	-0.16
Gene534	-1	-0.91
Gene535	0.95	1.57
Gene536	0.5	0.5
Gene537	1.08	0.18
Gene538	1.18	0.63
Gene539	0.63	0.75
Gene540	0.18	0.48
Gene541	-1.46	-0.76
Gene542	-0.05	1.29
Gene543	-0.55	-0.59
Gene544	-0.54	0.24
Gene545	0.47	-0.19
Gene546	1.9	1.64
Gene547	-1.37	-0.87
Gene548	0.71	-0.61
Gene549	1.98	2.36
Gene550	-0.9	-0.38
Gene551	0.97	0.45
Gene552	1.65	0.98
Gene553	0.33	0.59
Gene554	-0.57	-0.09
Gene555	0.12	0.66
Gene556	-0.31	-0.18
Gene557	-0.75	-0.72
Gene558	0.58	-0.3
Gene559	0.45	-0.03
Gene560	0.35	0.53
Gene561	0.32	0.18
Gene562	0.83	2.1
Gene563	-0.51	-0.17
Gene564	0.5	1.09
Gene565	-0.53	-0.03
Gene566	1.32	0.91
Gene567	-0.63	-0.87
Gene568	1.11	0.69
Gene569	2.35	1.24
Gene570	0.72	-0.32
Gene571	1.4	1.01
Gene572	-0.84	-0.37
Gene573	0.29	0.17
Gene574	1.29	0.31
Gene575	-1.76	-3.06
Gene576	-3.07	-3.66
Gene577	-2.25	-2
Gene578	1.45	0.29
Gene579	-0.08	0.38
Gene580	0.09	1.17
Gene581	-0.63	-1.3
Gene582	-0.66	-0.07
Gene583	0.63	-0.07
Gene584	-2.45	-1.78
Gene585	-1.73	-0.51
Gene586	-0.53	-0.03
Gene587	0.26	0.64
Gene588	0.59	1.41
Gene589	-0.53	-1.32
Gene590	-0.77	-1.21
Gene591	1.02	0.79
Gene592	-2.05	-2.28
Gene593	1.46	0.44
Gene594	2.98	2.43
Gene595	1.2	0.84
Gene596	1.44	0.61
Gene597	-0.11	-0.33
Gene598	0.27	0.48
Gene599	0.21	-1.38
Gene600	-1.07	0.01
Gene601	-0.48	0.09
Gene602	-0.14	-0.22
Gene603	0.7	0.54
Gene604	0.27	0.76
Gene605	-0.02	0.87
Gene606	-0.16	-0.35
Gene607	-0.38	-0.1
Gene608	-0.67	-0.54
Gene609	0.03	0.51
Gene610	0.71	0.01
Gene611	0.32	0.48
Gene612	-0.33	-0.75
Gene613	-0.3	-1.46
Gene614	-1.9	-0.82
Gene615	-0.9	-0.41
Gene616	-2.23	-1.33
Gene617	0.79	0.94
Gene618	0.05	0.32
Gene619	0.33	-0.26
Gene620	0.18	0.2
Gene621	-0.89	-0.75
Gene622	-1.92	-2.2
Gene623	0.48	-0.26
Gene624	-1.03	-0.54
Gene625	-0.21	0.94
Gene626	0.72	-0.82
Gene627	0.19	-0.38
Gene628	0.51	1.23
Gene629	0.19	0.87
Gene630	-1.02	-1.37
Gene631	0.51	1.38
Gene632	1.13	1.14
Gene633	0.93	0.59
Gene634	0.19	-0.41
Gene635	-1.23	-1.2
Gene636	0.5	0.68
Gene637	-1.77	-1.82
Gene638	0.47	-0.08
Gene639	0.43	0.49
Gene640	-0.52	-0.57
Gene641	0.12	0.18
Gene642	0.54	1.39
Gene643	-0.28	0.35
Gene644	0.43	0.24
Gene645	-0.15	-0.53
Gene646	-2.11	-1.45
Gene647	-0.14	0.1
Gene648	0.54	0.87
Gene649	0.34	-0.45
Gene650	-0.59	-1.37
Gene651	-0.41	-1.49
Gene652	1.42	1.45
Gene653	0.89	0.56
Gene654	-0.43	-1.18
Gene655	0.13	0.41
Gene656	1.49	0.63
Gene657	-2.21	-1.65
Gene658	-2.08	-1.26
Gene659	-0.61	-0.56
Gene660	-0.6	-1.14
Gene661	-0.7	-0.07
Gene662	-0.64	-0.82
Gene663	0.73	0
Gene664	-0.78	-0.93
Gene665	1.14	0.89
Gene666	0.6	0.87
Gene667	-0.65	-0.31
Gene668	0.69	0.45
Gene669	0.51	0.34
Gene670	-0.45	-1.42
Gene671	-0.02	0.06
Gene672	0.59	0.38
Gene673	1.77	1.71
Gene674	0.17	-0.05
Gene675	-1.91	-0.88
Gene676	0.61	1.32
Gene677	1	1.72
Gene678	-2.07	-1.59
Gene679	0.92	0.3
Gene680	-0.44	-0.24
Gene681	-0.18	0.19
Gene682	0.17	-0.82
Gene683	-1.82	-1.46
Gene684	-0.57	0.04
Gene685	-0.16	-0.62
Gene686	0.87	0.91
Gene687	-1.24	-0.54
Gene688	-2.12	-0.71
Gene689	-0.53	-0.19
Gene690	-0.07	-0.13
Gene691	-0.04	-0.1
Gene692	-0.94	-1
Gene693	0.7	0.81
Gene694	0.74	1
Gene695	1.91	2.31
Gene696	0.2	1.1
Gene697	1.56	0.97
Gene698	1.1	1.18
Gene699	-0.58	0.06
Gene700	0.69	-0.61
Gene701	1.35	0.11
Gene702	1.26	-0.03
Gene703	-1.75	-2.39
Gene704	1.52	1.02
Gene705	0.94	1.01
Gene706	-0.06	-0.34
Gene707	0.83	0.79
Gene708	1.22	-0.32
Gene709	1.09	0.81
Gene710	0.6	0.6
Gene711	-0.09	-0.75
Gene712	-0.05	0.5
Gene713	-0.7	-0.04
Gene714	1.01	0.96
Gene715	2.45	1.79
Gene716	-1.17	-1.26
Gene717	0.31	0.47
Gene718	0.67	0.46
Gene719	-1.16	-0.85
Gene720	-0.4	-0.01
Gene721	0.85	1.11
Gene722	-0.16	-1.61
Gene723	-0.54	0.24
Gene724	-1.87	-1.94
Gene725	0.14	-0.26
Gene726	-0.04	-0.12
Gene727	0.76	0.75
Gene728	0.82	0.24
Gene729	-2.15	-1.41
Gene730	1.5	0.13
Gene731	-0.71	-0.84
Gene732	-0.59	-1.49
Gene733	-1.67	-1.24
Gene734	1.72	2.96
Gene735	-1.94	-2.14
Gene736	-1.02	0.52
Gene737	1	0.34
Gene738	1.34	0.92
Gene739	-1.26	-1.67
Gene740	0.01	0.35
Gene741	-0.27	-0.29
Gene742	0.3	0.75
Gene743	0.72	1.01
Gene744	-2.26	-2.71
Gene745	0.18	-0.85
Gene746	0.5	-0.32
Gene747	0.55	0.66
Gene748	0.18	-0.56
Gene749	0.72	0.69
Gene750	-0.29	-1.67
Gene751	0.43	0.25
Gene752	2.15	1.67
Gene753	0.47	1.05
Gene754	0.17	0.88
Gene755	-0.6	-1.63
Gene756	-0.03	0.22
Gene757	0.82	0.07
Gene758	-1.76	-0.06
Gene759	-0.12	0.23
Gene760	1.39	0.72
Gene761	-2.44	-1.58
Gene762	1.57	0.39
Gene763	1.44	1.22
Gene764	-1.08	-1.7
Gene765	2.3	1.71
Gene766	-1.04	-0.66
Gene767	-1.15	-1.79
Gene768	0.75	-0.45
Gene769	-0.35	-0.87
Gene770	-1.7	-1.22
Gene771	-1.47	-1.84
Gene772	-0.28	0.03
Gene773	-1.46	-1.54
Gene774	1.45	0.67
Gene775	1.38	1.57
Gene776	0	0.82
Gene777	-0.22	-0.07
Gene778	0.46	0.73
Gene779	-0.63	0.05
Gene780	-0.29	0.64
Gene781	-1.79	-2.57
Gene782	-0.45	0.18
Gene783	-1.63	-2.31
Gene784	-0.08	0.05
Gene785	0.2	0.25
Gene786	0.46	0.49
Gene787	0.92	1.44
Gene788	-0.34	-0.76
Gene789	-0.58	-0.93
Gene790	-0.77	0.35
Gene791	0.57	-0.17
Gene792	-0.39	0.1
Gene793	-0.34	0.02
Gene794	-0.78	-1.35
Gene795	-2.03	-1.48
Gene796	0.64	0.87
Gene797	0.85	0.99
Gene798	0.47	0.81
Gene799	-0.12	-0.82
Gene800	0.4	1.12
Gene801	0.71	-0.68
Gene802	-0.11	-1.29
Gene803	-0.76	-1.89
Gene804	-1.53	-1.37
Gene805	0.91	1.23
Gene806	0.61	0.93
Gene807	1.69	1.18
Gene808	1.24	0.43
Gene809	0.91	0.76
Gene810	0.1	0.01
Gene811	0.28	0.66
Gene812	0.39	0.21
Gene813	-0.41	-0.86
Gene814	-1.14	-1.25
Gene815	0.17	0.29
Gene816	-0.55	-0.11
Gene817	2.32	0.76
Gene818	0.79	1.44
Gene819	-0.25	0.69
Gene820	-0.08	0.18
Gene821	-0.5	-0.58
Gene822	0.61	0.68
Gene823	-0.14	-1.76
Gene824	1.08	1.4
Gene825	-0.66	-0.11
Gene826	1.83	2.09
Gene827	-0.53	-0.7
Gene828	0.42	0.68
Gene829	-0.27	-0.2
Gene830	0.03	0.23
Gene831	-0.55	-1.52
Gene832	0.15	0.22
Gene833	-0.36	-0.27
Gene834	0.53	-0.14
Gene835	-1.54	-1.72
Gene836	-0.23	0.27
Gene837	1.58	0.49
Gene838	0.39	-0.64
Gene839	-0.55	-0.18
Gene840	0.39	0.42
Gene841	0.27	0.27
Gene842	-1.27	-0.9
Gene843	0.82	1.61
Gene844	-0.2	0.46
Gene845	-1.7	-0.25
Gene846	0.54	1.22
Gene847	1.13	0.24
Gene848	0.33	-0.28
Gene849	-0.89	-0.58
Gene850	2.81	2.52
Gene851	-0.85	-0.33
Gene852	0.37	-0.38
Gene853	-0.17	0.03
Gene854	-0.53	-0.42
Gene855	1.78	1
Gene856	0.45	1.38
Gene857	-0.95	-1.02
Gene858	-0.45	-0.16
Gene859	0.39	0.22
Gene860	0.84	0.9
Gene861	-0.16	1.14
Gene862	-0.75	-0.95
Gene863	0.51	0.58
Gene864	-1.21	-0.03
Gene865	-0.58	-0.36
Gene866	-1.4	-1.6
Gene867	-1.01	0.04
Gene868	0.81	0.04
Gene869	-1.05	-2.16
Gene870	0.66	-0.04
Gene871	0.79	0.61
Gene872	1.04	2.04
Gene873	-0.07	0.34
Gene874	-0.72	-0.82
Gene875	0.19	0.9
Gene876	-0.42	-1.09
Gene877	-0.02	0.85
Gene878	-0.49	-0.14
Gene879	1.06	0.84
Gene880	0	0.25
Gene881	0.64	0.88
Gene882	-1.54	-1.71
Gene883	-1.01	-1.32
Gene884	0.56	0.17
Gene885	1.86	1.11
Gene886	0.19	0.94
Gene887	-1.5	0.18
Gene888	1.84	1.98
Gene889	-2.1	-1.17
Gene890	0.46	0.51
Gene891	1.77	0.61
Gene892	-0.53	0.45
Gene893	0.41	0.26
Gene894	0.91	0.26
Gene895	-0.07	-0.36
Gene896	1.51	1.19
Gene897	-0.14	-0.52
Gene898	-1.22	-0.85
Gene899	-1.03	0.6
Gene900	-1.99	-0.46
Gene901	0.13	-0.18
Gene902	-0.72	-1.08
Gene903	-1.68	-0.79
Gene904	1.19	1.1
Gene905	-0.07	-0.63
Gene906	0.51	-0.75
Gene907	-1.66	-1.52
Gene908	0.94	1.33
Gene909	0.66	0.84
Gene910	1.95	1.75
Gene911	-0.47	0.59
Gene912	0.65	0.34
Gene913	-0.53	0.75
Gene914	0.38	0.02
Gene915	-1.68	-1
Gene916	-1.17	-1.1
Gene917	0.8	0.36
Gene918	-0.19	-0.03
Gene919	0.35	-0.37
Gene920	0.4	1.72
Gene921	0.66	1.08
Gene922	-0.77	-1.07
Gene923	-0.12	-0.64
Gene924	0	-0.16
Gene925	-0.64	-0.94
Gene926	1.4	0.43
Gene927	1.17	1.46
Gene928	-1	-0.68
Gene929	3.09	3.48
Gene930	1.69	2.28
Gene931	-0.16	0.17
Gene932	0.68	0.38
Gene933	1.2	1.36
Gene934	0.02	-0.36
Gene935	-2.08	-1.99
Gene936	0.24	0.85
Gene937	-0.31	0.06
Gene938	-1.15	-0.52
Gene939	1.76	0.51
Gene940	-0.89	-0.63
Gene941	-0.1	-0.16
Gene942	-0.41	-0.83
Gene943	2.34	1.13
Gene944	-1.21	-1.12
Gene945	-0.48	-0.25
Gene946	1.78	2.03
Gene947	-1.65	-0.92
Gene948	1.13	1.11
Gene949	0.32	0.73
Gene950	0	-0.42
Gene951	0.63	0.7
Gene952	-0.39	0.32
Gene953	-1.08	-0.33
Gene954	-0.85	-1.76
Gene955	1.4	1.04
Gene956	1.55	2.25
Gene957	-2.47	-2.11
Gene958	-0.17	-0.32
Gene959	1.63	2.18
Gene960	0.69	0.55
Gene961	1.59	1.21
Gene962	-0.13	0.14
Gene963	0.48	1.22
Gene964	-0.14	-0.43
Gene965	-0.36	-0.98
Gene966	2.84	1.97
Gene967	-0.57	-1.37
Gene968	-0.44	0.08
Gene969	-0.09	-0.34
Gene970	0.5	0.14
Gene971	-2.62	-1.88
Gene972	-1.28	-1.54
Gene973	-1.63	-2.7
Gene974	-0.61	-0.41
Gene975	-0.21	-1.01
Gene976	-1.75	-0.98
Gene977	0.31	-1.15
Gene978	-0.29	-0.37
Gene979	-0.44	-0.33
Gene980	-0.65	-1.06
Gene981	1.2	1.31
Gene982	-0.73	-0.61
Gene983	-2.26	-1.78
Gene984	2.9	3.59
Gene985	0.36	0.21
Gene986	1.17	1.02
Gene987	0.12	0.53
Gene988	0.43	0.49
Gene989	-0.2	0.28
Gene990	0.46	0.5
Gene991	-0.62	0.04
Gene992	-1.18	-0.11
Gene993	-0.68	-1.04
Gene994	-1.35	-2.03
Gene995	1.86	1.35
Gene996	0.3	0.91
Gene997	-0.5	0.57
Gene998	0.87	1.1
Gene999	-2.36	-2.67
Gene1000	-1.39	-1.31
