	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10
V47	25.76	1.63	11.07	19.24	29.78	9.65	21.95	13.94	48.78	7.68
V48	48.6	27.58	20.39	19.72	35.11	28.69	23.7	1.95	33.49	27.96
V49	41.85	15.79	7.88	16.83	52.66	16.14	5.35	18.82	27.15	5.45
V50	45.62	21.21	11.66	5.16	22.28	11.81	16.28	15.32	33.85	22.43
V51	46.29	25.75	19.88	20.76	22.11	21.46	7.11	26.73	44.82	3.51
V52	24.36	8.99	9.74	27.87	32.85	27.9	18.32	14.07	37.25	17.46
V53	36.43	20.25	1.86	10.53	21.23	4.09	19.13	18.67	36.86	19.04
V54	25.61	11.06	9.71	17.51	32.42	5.87	28.71	7.12	44.66	3.21
V55	28.35	16.72	6.6	21.55	39.72	5.16	9.52	6.6	41.89	4.98
V56	31.16	24.99	5.19	8.29	32.85	5.62	21.49	16.94	48.36	26.06
V57	28.1	14.02	18.97	24.52	48.45	18.57	11.57	26.8	23.16	7.75
V58	34.22	18.8	4.05	5.68	22.38	6.06	19	9.99	38.28	12.62
V59	50	5.17	13.58	27.32	48.93	12.52	12.53	3.9	27.92	13.57
V60	51.8	14.39	27.67	17.76	49.12	18.48	5.37	21.47	26.36	5.42
V61	21.06	27.43	4.66	4.66	43.69	23.29	10.97	24.48	39.68	24.51
V62	38.43	26.14	9.59	21.03	21.09	20.03	19.43	26.53	35.09	19.22
V63	52.81	25.31	18.03	8.39	47.76	23.69	26.31	26.5	37.19	25.91
V64	25.14	7.08	17.93	13.86	21.06	23.32	27.77	1.05	51.25	19.22
V65	48.36	8.08	18.26	16.15	28.64	13.73	13.87	16.39	42.95	1.75
V66	37.43	11.5	23.1	10.51	48.75	5.03	28.38	18.39	27.03	17.35
V67	22.67	19.74	20.84	15.24	40.62	18.13	5.79	8.72	45.6	27.13
V68	39.33	19.08	25.75	14.02	38.13	13.18	25.47	2.38	33.72	3.71
V69	32.02	13.58	25.5	3.88	22.28	5.56	8.13	18.99	32.71	4.26
V70	26.62	3.28	25.59	18.33	27.65	15.9	20.44	28.41	46.91	6.13
V71	51.91	26.1	2.84	28.74	31.25	23.36	12.53	15.14	51.49	10.04
V72	48.71	21.97	15.89	28.65	49.3	21.22	3.76	20.03	42.07	18.88
V73	23.13	2.08	10.52	21.58	48.12	17.61	4.93	15.71	26.94	28.32
V74	25.16	27.29	27.77	21.57	53.14	19.33	6.46	15.55	38.21	22.02
V75	27.01	18.7	18.35	25.85	34.58	16.19	13.52	21.68	33.73	7.28
V76	40.99	15.97	19.43	22.44	46.51	27.81	11.62	2.95	44.24	27.83
V77	27.63	20.4	23.63	18.05	39.83	27.58	26.87	8.77	34.69	3.6
V78	27.43	2.53	1.74	26.48	22.16	14.38	7.54	11.17	43.99	15.86
V79	37.72	24.1	13.48	1.62	31.68	24.96	23.16	12.29	25.18	16.59
V80	46.47	23.57	6.71	11.72	53.77	7.37	1.13	20.3	22.93	6.53
V81	49.41	28.3	16.59	15.22	27.74	6.38	3.01	20.2	38.05	2.12
V82	52.69	14.29	4.48	5.06	38.24	20.31	13.41	10.79	35.45	9.82
V83	48.98	21.97	22.63	3.21	46.84	28.64	5.27	15.32	23.21	17.51
V84	25.76	3.48	16.51	15.99	40.09	17.21	22.1	24.21	22.85	26.39
V85	29.57	22.65	14.76	4.48	47.37	12.4	21.85	12.72	25.18	11.03
V86	22.01	6.11	22.28	15.93	46.41	6.62	21.88	8.61	23.99	15.67
V87	23.29	24.59	2.47	21.52	23.92	11.13	14.74	17.02	33.5	22.62
V88	30.62	18.08	2.31	19.1	45.56	27.75	3.24	9.69	42.93	4.19
V89	24.13	1.35	11.88	25.51	48.22	1.37	28.94	5.28	38.25	15.38
V90	49.63	5.33	18.6	20.61	22.34	11.06	2.22	16.54	53.47	8.68
V91	42.2	19.69	4.01	26.61	34.98	13.31	4.99	26.61	47	22.4
V92	48.24	17.15	28.34	10.62	30.8	15.28	21.08	5.84	49.72	13.17
V93	51.71	3.67	25.57	13.12	38.31	8.22	22.73	13.4	47.61	1.33
V94	41.29	6.55	21.66	3.17	36.62	8.21	19.98	23.25	50.76	6.85
V95	40.45	27.37	2.53	13.66	28.2	14.32	5.53	14.67	45.83	15.08
V96	42.23	15.24	10.62	15.37	33.92	1.51	8.22	23.53	49.44	23.54
V97	30.88	19.84	8.42	12.73	24.76	15.13	23.73	25.79	48.92	25.5
V98	52.89	23.31	3.3	21.71	29.33	10.32	6.42	23.83	25.11	19.65
V99	41.38	7.44	4.04	17.54	22.94	1.33	8.61	15.45	49.55	15.54
V100	36.81	21.34	3.01	7.09	40.02	20.06	21.23	20.02	31.02	17.84
V101	52.29	5.38	9.99	27.28	29.16	1.64	7.27	7.86	23.61	19.17
V102	48.66	10.33	15.84	12.52	31.17	15.37	9.89	16.43	25.28	27.01
V103	22.81	20.15	13.89	6.64	30.87	28.08	11.89	7.24	44.44	4.9
V104	34.43	7.32	7.79	12.2	33.55	16.55	13.96	9.8	51.31	3.19
V105	39.06	17.33	9.56	20.28	40.86	17.91	22.71	13.64	31.37	6.01
V106	45.03	5.67	22.87	12.66	29.29	4.14	7.56	16.01	36.65	12.56
V107	51.77	4.1	26	3.96	32.23	5.26	11.71	17.96	39.59	20.08
V108	49.81	12.7	1.62	11.22	52.71	22.16	13.26	15	42.64	9.27
V109	43.15	20.12	28.12	8.84	26.77	20.31	9.84	15.72	24.4	27.82
V110	41.2	20.39	7.76	8.74	39.75	20.92	15.3	10.16	50.94	15.1
V111	43.31	21.41	24.5	14.25	42.58	10.01	9.79	11.6	24.88	27.58
V112	38.03	9.96	18.37	3.06	28.42	2.99	1.76	4.72	39.11	21.21
V113	38.78	11.89	15.05	21.22	38.79	15.56	7.43	16.35	24.81	13.12
V114	29.68	28.51	27.6	27.92	44.52	18.12	25.71	16.97	36.77	10.44
V115	52.9	19.04	28.71	10.37	27.04	18.85	28.06	18.31	31.31	27.66
V116	50.77	21.27	28.56	5.12	35.39	8.15	11.73	8.75	43.82	26.65
V117	28.09	21.14	17.46	27.36	51.84	26.42	13.57	18.96	33.6	19.64
V118	29.81	7.84	27.68	22.15	34.79	18.01	26.49	15.11	44.04	4
V119	43.29	24.01	13.9	27.21	42.29	17.94	16.38	25.6	49.04	14.41
V120	31.46	9.34	8.84	19.22	52.91	13.62	6.53	26.15	24.57	13.06
V121	42.03	21.07	27.35	24.6	45.33	24.58	5.59	9.23	51.35	1.02
V122	41.69	22.28	12.03	7.11	32.98	5.01	15.36	3.16	22.33	3.7
V123	47.62	11.61	28.85	10.52	36.34	19.35	22.81	15.83	42.17	25.63
V124	30.29	9.92	2.32	4.99	34.83	23.06	17.59	10.86	45.17	16.3
V125	49.02	26.6	15.79	20.37	52.66	28.84	19.57	24.66	42.02	20.58
V126	37.26	10.71	22.96	5.43	29.59	14.85	16.53	24	52.94	26.8
V127	33.25	2.41	17.29	27.27	32.39	28.05	24.16	20.49	28.8	11.27
V128	39.38	6.45	20.91	9.61	45.47	18.77	9.13	13.85	31.49	21.25
V129	51.05	15.04	20.68	8.44	48.1	19.95	19.61	28.13	35.33	17.97
V130	29.34	16.32	6.32	2.27	53.69	14.11	18.18	14.14	35.59	6.2
V131	36.38	12.11	8.04	28.07	24.38	23.47	22.72	27.67	49.74	5.53
V132	29.6	10.14	24.5	8.97	48.86	20.44	1.83	3.96	21.76	9.1
V133	52.36	21.32	23.69	20.39	46.22	24.85	21.1	24.07	30.68	11.32
V134	22.61	13.82	28.27	3.5	32.82	12.1	28.91	10.63	52.58	25.55
V135	25.18	27.88	26.97	24.2	53.01	23.7	22.25	10.12	29.71	5.07
V136	23.97	27.01	9.14	11.7	23.19	12.18	20.88	25.48	38.24	20.58
V137	49.63	13.67	1.34	17.56	50.43	7.5	4.14	12.52	48.7	22.08
V138	51.08	10.04	18.23	14.37	44.22	1.55	7.89	23.5	24.09	8.86
V139	32.88	4.6	4.6	3.62	48.38	2.13	28.81	7.23	25.57	8.73
V140	32.27	17.45	28.26	1.66	39.41	28.36	2.61	23.5	26.42	26.57
V141	45.43	1.89	19.53	14.48	31.9	20.54	1.01	23.49	53.54	11.51
V142	53.68	22.09	15.49	6.19	40.87	25.97	25.33	1.17	31.83	23.54
V143	36.4	3.93	11.53	12.81	28.34	2.62	4.94	21.85	31.44	15.91
V144	38.8	19.03	24.23	9.15	30.01	18.03	19.11	5.56	45.77	28.97
V145	50.44	24.58	14.49	11.83	53.21	13.68	9.97	19.76	35.37	5.13
V146	31.63	16.26	23.55	20.4	27.16	1.02	21.76	12.51	23.73	10.42
V147	38.24	7.25	5.81	19.28	30.62	16.17	19.11	3.93	49.73	19.5
V148	46.77	12.63	25.33	27.77	23.56	28.56	18.59	10.73	25.1	2.19
V149	49.79	2.32	1.86	26.89	41.33	17.48	14.26	15.09	51.34	19.84
V150	26.78	2.77	19.56	18.37	45.22	16.96	3.91	25.44	35.53	8.37
V151	51.84	11.17	21.27	1.05	32.11	2.47	16.07	2.64	41.37	4.85
V152	41.1	27.01	22.43	1.42	22.96	18.39	21.03	3.31	47.51	12.6
V153	46.15	23.08	15.63	10.09	29.78	16.61	11.71	5.25	28.76	15.49
V154	48.44	19.05	12.58	4.44	30.65	17.2	22.99	13.83	24.92	25.95
V155	43.75	27.45	7.52	28.08	48.03	7.82	28.79	13.96	43.92	1.08
V156	23.27	9.73	6.63	7.57	46.95	5.47	8.81	27.18	43.93	20.68
V157	46.11	9.8	19.72	1.68	39.37	8.94	7.18	22.96	43.29	16.61
V158	37.81	28.13	27.44	14.8	38.41	6.19	12.98	15.88	34.2	21.84
V159	25.45	7.63	13.02	13.04	45.67	25.06	18.63	5.5	24.81	10.08
V160	31.85	12.55	10.13	13.15	23.25	16.16	20.33	27.88	36.94	3.71
V161	38.29	16.24	22.73	14.31	43.97	10.44	26.83	20.28	38.77	2.73
V162	27.41	10.64	18.83	16.97	31.26	13.18	2.64	5.84	35.93	24.41
V163	53.9	1.2	28.76	5.34	32.91	18.14	1.6	27.94	41.53	16.48
V164	42.34	8.83	28.06	1.11	21.38	14.28	28.54	14.8	45.92	5.65
V165	22.59	27.42	2.06	3.08	42.51	18.3	21.8	10.97	28.17	9.76
V166	24.03	5.37	3.06	24.75	26.88	17.01	7.32	6.12	53.62	19.39
V167	25.21	12.38	4.06	8.5	23.66	26.27	6.5	13.97	52.23	2.53
V168	21.43	9.02	11.43	24.84	45.26	14.65	1.01	2.52	21.9	16.26
V169	45.57	11.08	20.8	26.15	29.2	26.35	9.27	15.34	34.89	28.51
V170	46.2	11.07	12.05	16.71	45.23	6.56	27.86	17.12	51.75	6.62
V171	21.35	20.14	19.06	22.41	36.04	14.14	1.79	19.66	25.71	23.23
V172	49.33	24.28	22.3	27.59	53.76	26.28	18.32	7.68	47.18	1.02
V173	21.78	17.01	23.26	23.39	25.3	4.18	2.08	10.78	33.78	1.32
V174	30.89	8.35	1.4	25.68	28.98	22.62	18.18	8.84	37.04	2.99
V175	21.55	11.85	24.33	8.5	38.4	9.96	10.91	19.72	41.95	12.44
V176	52.66	1.12	23.65	27.21	37.26	27.38	7.5	17.98	52.83	13.38
V177	34.72	18.76	28.1	18.17	23.51	15.65	7.27	23.02	30.09	18.72
V178	30.5	4.8	3.22	16.88	31	28.99	26.39	24.91	45.3	11.19
V179	43.95	11.96	13.07	25	31.82	21.9	17.47	15.41	39.76	10.66
V180	48.1	1.12	2.47	21.34	43.53	25.06	16.5	6.3	28.09	25.49
V181	29.38	11.34	22.09	6.79	21.35	4.75	1.38	8.5	33.73	15.17
V182	21.45	3.14	13.84	21.62	34.39	1.32	23.04	9.6	33.36	12.83
V183	27.55	13.14	1.92	23.19	34.43	21.65	6.65	8.66	23.27	13.41
V184	42	8.04	10.01	22.62	31.02	26.42	10.56	6.07	52.1	22.73
V185	50.68	11.8	20.5	13.2	49.5	16.36	23.47	1.26	52.11	6.87
V186	46.9	6.11	9.83	5.76	33.14	20.6	22.2	10.86	24.28	7.22
V187	23.49	20.91	13.9	3.77	41.37	16.67	20.85	14.56	41.59	2.48
V188	39.56	7.5	22.68	14.88	26.3	26.24	22.45	27.49	33.75	12.28
V189	41	21.73	26.46	24.01	37.7	19.38	23.42	12.84	32.01	5.28
V190	28.02	16.13	9.13	22.94	29.45	20.2	15.4	13.69	45.03	21.07
V191	26.45	14.49	20.43	7.38	24.85	25.36	2.69	4.91	46.74	18.85
V192	35.11	7.17	22.37	7.18	35.22	17.4	13.75	25.76	37.96	14.03
V193	31.8	28.62	4.03	27.35	34.46	4.35	14.3	8.43	31.49	27.2
V194	52.7	5.97	5.7	10.52	44.97	8.57	15.36	6.99	47.65	17.3
V195	50.45	22.98	24.95	20.9	22.78	22.91	17.43	21.92	25.3	24.46
V196	21.86	20.42	18.33	5.72	29.44	28.62	7.23	5.17	37.31	3.12
V197	48.8	13.89	15.33	11.12	48.7	27.98	19.88	14.3	42.36	19.42
V198	28.11	9.97	25.52	3.68	48.55	2.26	20.76	9.64	42.63	9.84
V199	30.79	2.41	13.33	23.13	52.03	4.8	13.08	26.53	41.04	18.68
V200	45.36	25.66	7.86	3.99	45.06	21.64	4.39	23.03	23	14.41
