	Row	Sample1	Sample2
Gene240	240	2.76	3.01
Gene241	241	2.75	2.99
Gene242	242	2.74	2.99
Gene243	243	2.74	2.98
Gene244	244	2.74	2.97
Gene245	245	2.74	2.97
Gene246	246	2.73	2.96
Gene247	247	2.73	2.96
Gene248	248	2.71	2.96
Gene249	249	2.71	2.96
Gene250	250	2.7	2.96
Gene251	251	2.7	2.95
Gene252	252	2.7	2.95
Gene253	253	2.7	2.95
Gene254	254	2.69	2.95
Gene255	255	2.68	2.94
Gene256	256	2.67	2.94
Gene257	257	2.67	2.94
Gene258	258	2.67	2.94
Gene259	259	2.67	2.93
Gene260	260	2.67	2.93
Gene261	261	2.66	2.93
Gene262	262	2.66	2.93
Gene263	263	2.65	2.93
Gene264	264	2.65	2.93
Gene265	265	2.65	2.92
Gene266	266	2.65	2.92
Gene267	267	2.63	2.92
Gene268	268	2.62	2.92
Gene269	269	2.62	2.92
Gene270	270	2.62	2.92
Gene271	271	2.61	2.91
Gene272	272	2.61	2.91
Gene273	273	2.61	2.9
Gene274	274	2.6	2.9
Gene275	275	2.6	2.9
Gene276	276	2.6	2.89
Gene277	277	2.59	2.89
Gene278	278	2.59	2.88
Gene279	279	2.58	2.87
Gene280	280	2.58	2.87
Gene281	281	2.57	2.87
Gene282	282	2.57	2.87
Gene283	283	2.57	2.86
Gene284	284	2.57	2.86
Gene285	285	2.57	2.85
Gene286	286	2.57	2.85
Gene287	287	2.57	2.85
Gene288	288	2.57	2.84
Gene289	289	2.56	2.84
Gene290	290	2.56	2.84
Gene291	291	2.56	2.84
Gene292	292	2.56	2.84
Gene293	293	2.56	2.83
Gene294	294	2.55	2.83
Gene295	295	2.53	2.83
Gene296	296	2.53	2.83
Gene297	297	2.53	2.83
Gene298	298	2.53	2.83
Gene299	299	2.53	2.82
Gene300	300	2.53	2.82
Gene301	301	2.53	2.82
Gene302	302	2.52	2.82
Gene303	303	2.52	2.82
Gene304	304	2.52	2.82
Gene305	305	2.51	2.82
Gene306	306	2.51	2.81
Gene307	307	2.51	2.81
Gene308	308	2.5	2.81
Gene309	309	2.5	2.8
Gene310	310	2.49	2.79
Gene311	311	2.49	2.78
Gene312	312	2.49	2.76
Gene313	313	2.49	2.76
Gene314	314	2.49	2.76
Gene315	315	2.49	2.76
Gene316	316	2.49	2.75
Gene317	317	2.48	2.75
Gene318	318	2.48	2.75
Gene319	319	2.48	2.75
Gene320	320	2.48	2.75
Gene321	321	2.47	2.74
Gene322	322	2.47	2.74
Gene323	323	2.46	2.73
Gene324	324	2.46	2.73
Gene325	325	2.46	2.73
Gene326	326	2.46	2.73
Gene327	327	2.45	2.73
Gene328	328	2.45	2.72
Gene329	329	2.44	2.72
Gene330	330	2.44	2.71
Gene331	331	2.44	2.7
Gene332	332	2.44	2.7
Gene333	333	2.44	2.7
Gene334	334	2.43	2.69
Gene335	335	2.43	2.69
Gene336	336	2.43	2.68
Gene337	337	2.42	2.68
Gene338	338	2.42	2.68
Gene339	339	2.41	2.68
Gene340	340	2.41	2.67
Gene341	341	2.41	2.67
Gene342	342	2.4	2.67
Gene343	343	2.4	2.66
Gene344	344	2.4	2.66
Gene345	345	2.4	2.66
Gene346	346	2.4	2.66
Gene347	347	2.39	2.66
Gene348	348	2.38	2.66
Gene349	349	2.38	2.65
Gene350	350	2.38	2.65
Gene351	351	2.38	2.65
Gene352	352	2.38	2.65
Gene353	353	2.38	2.65
Gene354	354	2.38	2.65
Gene355	355	2.37	2.64
Gene356	356	2.37	2.64
Gene357	357	2.37	2.64
Gene358	358	2.36	2.64
Gene359	359	2.36	2.63
Gene360	360	2.36	2.62
Gene361	361	2.35	2.62
Gene362	362	2.35	2.62
Gene363	363	2.35	2.62
Gene364	364	2.34	2.61
Gene365	365	2.34	2.61
Gene366	366	2.34	2.61
Gene367	367	2.34	2.6
Gene368	368	2.34	2.6
Gene369	369	2.34	2.6
Gene370	370	2.33	2.59
Gene371	371	2.33	2.59
Gene372	372	2.33	2.58
Gene373	373	2.33	2.58
Gene374	374	2.33	2.58
Gene375	375	2.33	2.58
Gene376	376	2.32	2.57
Gene377	377	2.32	2.57
Gene378	378	2.31	2.57
Gene379	379	2.31	2.57
Gene380	380	2.31	2.57
Gene381	381	2.3	2.57
Gene382	382	2.3	2.56
Gene383	383	2.3	2.55
Gene384	384	2.3	2.55
Gene385	385	2.29	2.55
Gene386	386	2.29	2.54
Gene387	387	2.29	2.54
Gene388	388	2.29	2.53
Gene389	389	2.28	2.53
Gene390	390	2.28	2.52
Gene391	391	2.28	2.51
Gene392	392	2.28	2.51
Gene393	393	2.28	2.51
Gene394	394	2.27	2.49
Gene395	395	2.27	2.49
Gene396	396	2.27	2.48
Gene397	397	2.27	2.48
Gene398	398	2.27	2.48
Gene399	399	2.26	2.48
Gene400	400	2.26	2.48
Gene401	401	2.26	2.48
Gene402	402	2.26	2.48
Gene403	403	2.26	2.47
Gene404	404	2.26	2.47
Gene405	405	2.26	2.47
Gene406	406	2.26	2.47
Gene407	407	2.25	2.47
Gene408	408	2.25	2.46
Gene409	409	2.25	2.46
Gene410	410	2.24	2.46
Gene411	411	2.24	2.45
Gene412	412	2.24	2.45
Gene413	413	2.24	2.44
Gene414	414	2.24	2.44
Gene415	415	2.24	2.44
Gene416	416	2.24	2.44
Gene417	417	2.23	2.44
Gene418	418	2.23	2.44
Gene419	419	2.23	2.43
Gene420	420	2.23	2.43
Gene421	421	2.23	2.43
Gene422	422	2.22	2.43
Gene423	423	2.22	2.43
Gene424	424	2.21	2.42
Gene425	425	2.21	2.42
Gene426	426	2.21	2.42
Gene427	427	2.21	2.42
Gene428	428	2.2	2.42
Gene429	429	2.2	2.41
Gene430	430	2.19	2.41
Gene431	431	2.18	2.4
Gene432	432	2.18	2.39
Gene433	433	2.17	2.39
Gene434	434	2.17	2.39
Gene435	435	2.17	2.39
Gene436	436	2.16	2.39
Gene437	437	2.16	2.39
Gene438	438	2.15	2.39
Gene439	439	2.15	2.39
Gene440	440	2.14	2.38
Gene441	441	2.14	2.38
Gene442	442	2.14	2.38
Gene443	443	2.13	2.38
Gene444	444	2.13	2.37
Gene445	445	2.13	2.37
Gene446	446	2.13	2.37
Gene447	447	2.13	2.37
Gene448	448	2.12	2.36
Gene449	449	2.12	2.36
Gene450	450	2.12	2.36
Gene451	451	2.12	2.35
Gene452	452	2.11	2.35
Gene453	453	2.11	2.35
Gene454	454	2.11	2.35
Gene455	455	2.11	2.35
Gene456	456	2.11	2.34
Gene457	457	2.11	2.34
Gene458	458	2.1	2.34
Gene459	459	2.1	2.33
Gene460	460	2.09	2.33
Gene461	461	2.09	2.32
Gene462	462	2.09	2.32
Gene463	463	2.09	2.31
Gene464	464	2.09	2.31
Gene465	465	2.09	2.3
Gene466	466	2.09	2.3
Gene467	467	2.09	2.29
Gene468	468	2.09	2.29
Gene469	469	2.08	2.29
Gene470	470	2.08	2.29
Gene471	471	2.07	2.29
Gene472	472	2.06	2.28
Gene473	473	2.05	2.28
Gene474	474	2.05	2.27
Gene475	475	2.05	2.27
Gene476	476	2.05	2.26
Gene477	477	2.05	2.26
Gene478	478	2.04	2.26
Gene479	479	2.03	2.26
Gene480	480	2.03	2.25
Gene481	481	2.03	2.25
Gene482	482	2.03	2.24
Gene483	483	2.03	2.23
Gene484	484	2.02	2.23
Gene485	485	2.02	2.22
Gene486	486	2.02	2.21
Gene487	487	2.01	2.21
Gene488	488	2.01	2.21
Gene489	489	2.01	2.2
Gene490	490	2.01	2.2
Gene491	491	2	2.2
Gene492	492	2	2.2
Gene493	493	2	2.19
Gene494	494	2	2.19
Gene495	495	1.99	2.18
Gene496	496	1.99	2.18
Gene497	497	1.99	2.18
Gene498	498	1.98	2.18
Gene499	499	1.98	2.18
Gene500	500	1.97	2.15
Gene501	501	1.97	2.15
Gene502	502	1.97	2.14
Gene503	503	1.97	2.14
Gene504	504	1.96	2.14
Gene505	505	1.95	2.14
Gene506	506	1.95	2.14
Gene507	507	1.95	2.14
Gene508	508	1.94	2.13
Gene509	509	1.94	2.13
Gene510	510	1.94	2.13
Gene511	511	1.93	2.12
Gene512	512	1.93	2.12
Gene513	513	1.93	2.12
Gene514	514	1.92	2.11
Gene515	515	1.92	2.11
Gene516	516	1.92	2.11
Gene517	517	1.92	2.1
Gene518	518	1.92	2.1
Gene519	519	1.91	2.1
Gene520	520	1.91	2.1
Gene521	521	1.91	2.1
Gene522	522	1.9	2.1
Gene523	523	1.9	2.1
Gene524	524	1.9	2.1
Gene525	525	1.9	2.09
Gene526	526	1.9	2.09
Gene527	527	1.89	2.08
Gene528	528	1.89	2.07
Gene529	529	1.89	2.07
Gene530	530	1.89	2.07
Gene531	531	1.89	2.06
Gene532	532	1.89	2.06
Gene533	533	1.88	2.06
Gene534	534	1.88	2.05
Gene535	535	1.88	2.05
Gene536	536	1.88	2.04
Gene537	537	1.87	2.04
Gene538	538	1.87	2.04
Gene539	539	1.87	2.04
Gene540	540	1.87	2.02
Gene541	541	1.87	2.02
Gene542	542	1.87	2.02
Gene543	543	1.87	2.01
Gene544	544	1.86	2.01
Gene545	545	1.86	2.01
Gene546	546	1.86	2
Gene547	547	1.86	2
Gene548	548	1.86	2
Gene549	549	1.85	1.98
Gene550	550	1.85	1.98
Gene551	551	1.85	1.98
Gene552	552	1.85	1.97
Gene553	553	1.84	1.97
Gene554	554	1.84	1.97
Gene555	555	1.83	1.97
Gene556	556	1.83	1.96
Gene557	557	1.83	1.96
Gene558	558	1.83	1.96
Gene559	559	1.82	1.96
Gene560	560	1.82	1.96
Gene561	561	1.82	1.95
Gene562	562	1.82	1.93
Gene563	563	1.82	1.93
Gene564	564	1.81	1.93
Gene565	565	1.81	1.93
Gene566	566	1.81	1.93
Gene567	567	1.81	1.93
Gene568	568	1.81	1.92
Gene569	569	1.8	1.92
Gene570	570	1.79	1.91
Gene571	571	1.79	1.91
Gene572	572	1.78	1.91
Gene573	573	1.78	1.91
Gene574	574	1.78	1.91
Gene575	575	1.78	1.9
Gene576	576	1.78	1.9
Gene577	577	1.78	1.9
Gene578	578	1.78	1.9
Gene579	579	1.77	1.9
Gene580	580	1.77	1.89
Gene581	581	1.77	1.88
Gene582	582	1.77	1.88
Gene583	583	1.77	1.87
Gene584	584	1.77	1.87
Gene585	585	1.77	1.87
Gene586	586	1.76	1.87
Gene587	587	1.76	1.87
Gene588	588	1.75	1.87
Gene589	589	1.75	1.85
Gene590	590	1.75	1.85
Gene591	591	1.75	1.84
Gene592	592	1.75	1.84
Gene593	593	1.75	1.84
Gene594	594	1.74	1.84
Gene595	595	1.74	1.84
Gene596	596	1.74	1.83
Gene597	597	1.74	1.83
Gene598	598	1.74	1.82
Gene599	599	1.73	1.82
Gene600	600	1.73	1.82
Gene601	601	1.73	1.82
Gene602	602	1.72	1.81
Gene603	603	1.72	1.81
Gene604	604	1.72	1.81
Gene605	605	1.72	1.81
Gene606	606	1.72	1.81
Gene607	607	1.72	1.81
Gene608	608	1.71	1.8
Gene609	609	1.71	1.8
Gene610	610	1.7	1.8
Gene611	611	1.7	1.8
Gene612	612	1.7	1.8
Gene613	613	1.7	1.8
Gene614	614	1.7	1.8
Gene615	615	1.7	1.8
Gene616	616	1.69	1.79
Gene617	617	1.69	1.79
Gene618	618	1.69	1.78
Gene619	619	1.67	1.78
Gene620	620	1.66	1.78
Gene621	621	1.66	1.78
Gene622	622	1.66	1.77
Gene623	623	1.66	1.77
Gene624	624	1.66	1.77
Gene625	625	1.66	1.76
Gene626	626	1.66	1.76
Gene627	627	1.65	1.76
Gene628	628	1.65	1.76
Gene629	629	1.65	1.75
Gene630	630	1.65	1.75
Gene631	631	1.65	1.74
Gene632	632	1.65	1.74
Gene633	633	1.64	1.74
Gene634	634	1.64	1.74
Gene635	635	1.64	1.74
Gene636	636	1.64	1.74
Gene637	637	1.63	1.74
Gene638	638	1.63	1.73
Gene639	639	1.63	1.73
Gene640	640	1.63	1.73
Gene641	641	1.63	1.73
Gene642	642	1.63	1.73
Gene643	643	1.63	1.72
Gene644	644	1.62	1.71
Gene645	645	1.62	1.71
Gene646	646	1.62	1.7
Gene647	647	1.62	1.7
Gene648	648	1.62	1.69
Gene649	649	1.62	1.68
Gene650	650	1.61	1.68
Gene651	651	1.61	1.68
Gene652	652	1.6	1.68
Gene653	653	1.6	1.68
Gene654	654	1.6	1.67
Gene655	655	1.6	1.67
Gene656	656	1.59	1.67
Gene657	657	1.59	1.66
Gene658	658	1.59	1.66
Gene659	659	1.59	1.65
Gene660	660	1.58	1.65
Gene661	661	1.58	1.64
Gene662	662	1.58	1.64
Gene663	663	1.58	1.64
Gene664	664	1.57	1.64
Gene665	665	1.57	1.64
Gene666	666	1.57	1.63
Gene667	667	1.57	1.63
Gene668	668	1.56	1.63
Gene669	669	1.56	1.62
Gene670	670	1.56	1.61
Gene671	671	1.56	1.61
Gene672	672	1.56	1.6
Gene673	673	1.56	1.6
Gene674	674	1.56	1.59
Gene675	675	1.56	1.59
Gene676	676	1.56	1.59
Gene677	677	1.55	1.58
Gene678	678	1.55	1.58
Gene679	679	1.55	1.56
Gene680	680	1.55	1.56
Gene681	681	1.54	1.56
Gene682	682	1.54	1.55
Gene683	683	1.54	1.55
Gene684	684	1.53	1.54
Gene685	685	1.53	1.54
Gene686	686	1.52	1.54
Gene687	687	1.52	1.54
Gene688	688	1.52	1.54
Gene689	689	1.51	1.53
Gene690	690	1.5	1.53
Gene691	691	1.5	1.51
Gene692	692	1.5	1.5
Gene693	693	1.49	1.5
Gene694	694	1.49	1.5
Gene695	695	1.49	1.49
Gene696	696	1.49	1.49
Gene697	697	1.49	1.49
Gene698	698	1.48	1.48
Gene699	699	1.48	1.48
Gene700	700	1.48	1.47
Gene701	701	1.48	1.46
Gene702	702	1.46	1.46
Gene703	703	1.46	1.46
Gene704	704	1.46	1.45
Gene705	705	1.46	1.45
Gene706	706	1.45	1.44
Gene707	707	1.45	1.44
Gene708	708	1.45	1.44
Gene709	709	1.44	1.43
Gene710	710	1.44	1.43
Gene711	711	1.44	1.43
Gene712	712	1.43	1.42
Gene713	713	1.43	1.42
Gene714	714	1.43	1.42
Gene715	715	1.43	1.42
Gene716	716	1.43	1.4
Gene717	717	1.43	1.4
Gene718	718	1.42	1.39
Gene719	719	1.42	1.39
Gene720	720	1.42	1.39
Gene721	721	1.41	1.38
Gene722	722	1.41	1.38
Gene723	723	1.41	1.38
Gene724	724	1.41	1.38
Gene725	725	1.41	1.38
Gene726	726	1.4	1.37
Gene727	727	1.39	1.37
Gene728	728	1.38	1.37
Gene729	729	1.38	1.36
Gene730	730	1.38	1.36
Gene731	731	1.37	1.36
Gene732	732	1.37	1.35
Gene733	733	1.37	1.35
Gene734	734	1.37	1.34
Gene735	735	1.37	1.34
Gene736	736	1.36	1.34
Gene737	737	1.36	1.33
Gene738	738	1.36	1.33
Gene739	739	1.36	1.32
Gene740	740	1.35	1.32
Gene741	741	1.35	1.32
Gene742	742	1.34	1.32
Gene743	743	1.34	1.31
Gene744	744	1.34	1.31
Gene745	745	1.34	1.31
Gene746	746	1.33	1.3
Gene747	747	1.33	1.3
Gene748	748	1.33	1.3
Gene749	749	1.32	1.3
Gene750	750	1.32	1.29
Gene751	751	1.32	1.29
Gene752	752	1.32	1.28
Gene753	753	1.31	1.27
Gene754	754	1.31	1.27
Gene755	755	1.29	1.27
Gene756	756	1.29	1.25
Gene757	757	1.28	1.25
Gene758	758	1.28	1.25
Gene759	759	1.28	1.24
Gene760	760	1.28	1.23
Gene761	761	1.28	1.23
Gene762	762	1.28	1.23
Gene763	763	1.28	1.22
Gene764	764	1.27	1.22
Gene765	765	1.27	1.21
Gene766	766	1.27	1.21
Gene767	767	1.27	1.2
Gene768	768	1.26	1.2
Gene769	769	1.26	1.19
Gene770	770	1.26	1.19
Gene771	771	1.25	1.19
Gene772	772	1.25	1.18
Gene773	773	1.25	1.18
Gene774	774	1.25	1.18
Gene775	775	1.25	1.17
Gene776	776	1.25	1.17
Gene777	777	1.24	1.16
Gene778	778	1.24	1.16
Gene779	779	1.24	1.16
Gene780	780	1.23	1.16
Gene781	781	1.23	1.15
Gene782	782	1.23	1.15
Gene783	783	1.23	1.15
Gene784	784	1.23	1.15
Gene785	785	1.23	1.15
Gene786	786	1.22	1.13
Gene787	787	1.22	1.13
Gene788	788	1.22	1.13
Gene789	789	1.21	1.12
Gene790	790	1.21	1.12
Gene791	791	1.21	1.12
Gene792	792	1.21	1.1
Gene793	793	1.21	1.1
Gene794	794	1.2	1.1
Gene795	795	1.19	1.09
Gene796	796	1.19	1.09
Gene797	797	1.19	1.09
Gene798	798	1.19	1.09
Gene799	799	1.19	1.08
Gene800	800	1.18	1.08
Gene801	801	1.18	1.08
Gene802	802	1.18	1.08
Gene803	803	1.18	1.07
Gene804	804	1.17	1.07
Gene805	805	1.17	1.07
Gene806	806	1.16	1.07
Gene807	807	1.16	1.07
Gene808	808	1.16	1.06
Gene809	809	1.16	1.06
Gene810	810	1.15	1.06
Gene811	811	1.15	1.06
Gene812	812	1.15	1.06
Gene813	813	1.15	1.06
Gene814	814	1.14	1.06
Gene815	815	1.13	1.05
Gene816	816	1.12	1.04
Gene817	817	1.11	1.04
Gene818	818	1.1	1.03
Gene819	819	1.1	1.03
Gene820	820	1.1	1.03
Gene821	821	1.1	1.02
Gene822	822	1.1	1.02
Gene823	823	1.1	1.01
Gene824	824	1.1	1
Gene825	825	1.09	1
Gene826	826	1.09	1
Gene827	827	1.09	0.99
Gene828	828	1.08	0.99
Gene829	829	1.08	0.99
Gene830	830	1.08	0.99
Gene831	831	1.06	0.98
Gene832	832	1.06	0.98
Gene833	833	1.06	0.98
Gene834	834	1.06	0.97
Gene835	835	1.05	0.96
Gene836	836	1.05	0.96
Gene837	837	1.05	0.96
Gene838	838	1.05	0.95
Gene839	839	1.04	0.95
Gene840	840	1.04	0.95
Gene841	841	1.04	0.95
Gene842	842	1.04	0.94
Gene843	843	1.03	0.93
Gene844	844	1.03	0.93
Gene845	845	1.03	0.93
Gene846	846	1.03	0.93
Gene847	847	1.02	0.93
Gene848	848	1.01	0.92
Gene849	849	1	0.92
Gene850	850	0.99	0.91
Gene851	851	0.99	0.91
Gene852	852	0.99	0.91
Gene853	853	0.99	0.91
Gene854	854	0.99	0.9
Gene855	855	0.97	0.9
Gene856	856	0.96	0.89
Gene857	857	0.96	0.89
Gene858	858	0.95	0.88
Gene859	859	0.94	0.88
Gene860	860	0.94	0.88
Gene861	861	0.93	0.87
Gene862	862	0.93	0.86
Gene863	863	0.92	0.86
Gene864	864	0.92	0.86
Gene865	865	0.92	0.85
Gene866	866	0.91	0.84
Gene867	867	0.91	0.84
Gene868	868	0.91	0.84
Gene869	869	0.9	0.81
Gene870	870	0.9	0.8
Gene871	871	0.9	0.8
Gene872	872	0.9	0.8
Gene873	873	0.9	0.8
Gene874	874	0.89	0.8
Gene875	875	0.89	0.78
Gene876	876	0.89	0.78
Gene877	877	0.88	0.78
Gene878	878	0.88	0.78
Gene879	879	0.87	0.75
Gene880	880	0.86	0.74
Gene881	881	0.86	0.74
Gene882	882	0.86	0.74
Gene883	883	0.84	0.73
Gene884	884	0.84	0.72
Gene885	885	0.84	0.72
Gene886	886	0.84	0.71
Gene887	887	0.83	0.71
Gene888	888	0.82	0.71
Gene889	889	0.82	0.71
Gene890	890	0.81	0.7
Gene891	891	0.8	0.7
Gene892	892	0.8	0.7
Gene893	893	0.8	0.7
Gene894	894	0.79	0.69
Gene895	895	0.79	0.69
Gene896	896	0.79	0.68
Gene897	897	0.78	0.68
Gene898	898	0.78	0.67
Gene899	899	0.78	0.66
Gene900	900	0.77	0.64
Gene901	901	0.77	0.63
Gene902	902	0.77	0.62
Gene903	903	0.77	0.62
Gene904	904	0.76	0.6
Gene905	905	0.75	0.6
Gene906	906	0.75	0.59
Gene907	907	0.75	0.59
Gene908	908	0.74	0.59
Gene909	909	0.74	0.56
Gene910	910	0.73	0.56
Gene911	911	0.72	0.55
Gene912	912	0.72	0.53
Gene913	913	0.72	0.53
Gene914	914	0.71	0.53
Gene915	915	0.71	0.52
Gene916	916	0.71	0.51
Gene917	917	0.7	0.51
Gene918	918	0.7	0.49
Gene919	919	0.69	0.49
Gene920	920	0.67	0.49
Gene921	921	0.67	0.48
Gene922	922	0.64	0.48
Gene923	923	0.63	0.47
Gene924	924	0.62	0.47
Gene925	925	0.62	0.47
Gene926	926	0.62	0.45
Gene927	927	0.6	0.45
Gene928	928	0.59	0.44
Gene929	929	0.58	0.44
Gene930	930	0.58	0.44
Gene931	931	0.57	0.44
Gene932	932	0.56	0.43
Gene933	933	0.56	0.43
