	GNI	ISO3	Id	continent
Rwanda	700	RWA	177	Africa
Sierra Leone	700	SLE	178	Africa
Afghanistan	680	AFG	179	Asia
Uganda	670	UGA	180	Africa
Mali	650	MLI	181	Africa
Mozambique	600	MOZ	182	Africa
Togo	570	TGO	183	Africa
Ethiopia	550	ETH	184	Africa
Guinea-Bissau	550	GNB	185	Africa
Guinea	470	GIN	186	Africa
Gambia, The	500	GMB	187	Africa
Madagascar	440	MDG	188	Africa
Niger	410	NER	189	Africa
Congo, Dem. Rep.	380	COD	190	Africa
Liberia	370	LBR	191	Africa
Central African Republic	320	CAF	192	Africa
Burundi	270	BDI	193	Africa
Malawi	250	MWI	194	Africa
